ENSG00000223972.5	ENSG000002239725	DDX11L1
ENSG00000159650.8	ENSG000001596508	UROC1
ENSG00000180767.9	ENSG000001807679	CHST13
ENSG00000180697.8	ENSG000001806978	C3orf22
ENSG00000201968.1	ENSG000002019681	RNA5SP138
ENSG00000283374.1	ENSG000002833741	TXNRD3NB
ENSG00000206483.5	ENSG000002064835	TXNRD3NB
ENSG00000197763.14	ENSG0000019776314	TXNRD3
ENSG00000248557.1	ENSG000002485571	RP11-390G14.1
ENSG00000198284.9	ENSG000001982849	NUP210P1
ENSG00000248850.1	ENSG000002488501	RP11-605F14.2
ENSG00000159685.10	ENSG0000015968510	CHCHD6
ENSG00000249558.1	ENSG000002495581	RCC2P4
ENSG00000280053.1	ENSG000002800531	RP11-61K12.2
ENSG00000114554.11	ENSG0000011455411	PLXNA1
ENSG00000214324.5	ENSG000002143245	C3orf56
ENSG00000212556.1	ENSG000002125561	Y_RNA
ENSG00000243016.1	ENSG000002430161	RP11-305F5.2
ENSG00000201288.1	ENSG000002012881	RNU6-1047P
ENSG00000239620.1	ENSG000002396201	RP11-88I21.1
ENSG00000244215.1	ENSG000002442151	LINC02016
ENSG00000239921.3	ENSG000002399213	LINC01471
ENSG00000240562.1	ENSG000002405621	RP11-59J16.2
ENSG00000282975.1	ENSG000002829751	LINC02034
ENSG00000282860.1	ENSG000002828601	RP11-153F10.2
ENSG00000163870.14	ENSG0000016387014	TPRA1
ENSG00000275067.1	ENSG000002750671	MIR6825
ENSG00000276083.1	ENSG000002760831	MIR7976
ENSG00000073111.13	ENSG0000007311113	MCM2
ENSG00000114631.10	ENSG0000011463110	PODXL2
ENSG00000114626.17	ENSG0000011462617	ABTB1
ENSG00000074416.13	ENSG0000007441613	MGLL
ENSG00000187715.13	ENSG0000018771513	KBTBD12
ENSG00000201210.1	ENSG000002012101	RNA5SP139
ENSG00000058262.9	ENSG000000582629	SEC61A1
ENSG00000175792.11	ENSG0000017579211	RUVBL1
ENSG00000222627.1	ENSG000002226271	RNU2-37P
ENSG00000239608.1	ENSG000002396081	RUVBL1-AS1
ENSG00000212344.1	ENSG000002123441	RNU6-823P
ENSG00000132394.10	ENSG0000013239410	EEFSEC
ENSG00000179407.3	ENSG000001794073	DNAJB8
ENSG00000242049.1	ENSG000002420491	DNAJB8-AS1
ENSG00000179348.11	ENSG0000017934811	GATA2
ENSG00000244300.2	ENSG000002443002	GATA2-AS1
ENSG00000239405.1	ENSG000002394051	TMED10P2
ENSG00000198685.3	ENSG000001986853	LINC01565
ENSG00000163902.11	ENSG0000016390211	RPN1
ENSG00000277250.1	ENSG000002772501	Metazoa_SRP
ENSG00000242551.2	ENSG000002425512	POU5F1P6
ENSG00000207130.1	ENSG000002071301	SNORA24
ENSG00000075785.12	ENSG0000007578512	RAB7A
ENSG00000239503.1	ENSG000002395031	MARK2P8
ENSG00000242992.3	ENSG000002429923	FTH1P4
ENSG00000244232.3	ENSG000002442323	RN7SL698P
ENSG00000239483.1	ENSG000002394831	RPS15AP16
ENSG00000244065.1	ENSG000002440651	MARK2P17
ENSG00000243022.1	ENSG000002430221	MARK3P3
ENSG00000242062.1	ENSG000002420621	MARK2P6
ENSG00000261159.1	ENSG000002611591	RP11-723O4.9
ENSG00000231305.3	ENSG000002313053	RP11-723O4.2
ENSG00000250796.1	ENSG000002507961	RP11-723O4.3
ENSG00000177646.18	ENSG0000017764618	ACAD9
ENSG00000114656.10	ENSG0000011465610	KIAA1257
ENSG00000187695.8	ENSG000001876958	RP11-723O4.6
ENSG00000279507.1	ENSG000002795071	RP11-723O4.7
ENSG00000114654.7	ENSG000001146547	EFCC1
ENSG00000249505.1	ENSG000002495051	RP11-434H6.2
ENSG00000169704.4	ENSG000001697044	GP9
ENSG00000172780.16	ENSG0000017278016	RAB43
ENSG00000261796.1	ENSG000002617961	ISY1-RAB43
ENSG00000273174.1	ENSG000002731741	RP11-434H6.6
ENSG00000240682.9	ENSG000002406829	ISY1
ENSG00000273437.1	ENSG000002734371	RP11-434H6.7
ENSG00000169714.16	ENSG0000016971416	CNBP
ENSG00000241673.1	ENSG000002416731	RPS27P12
ENSG00000181789.14	ENSG0000018178914	COPG1
ENSG00000278658.1	ENSG000002786581	MIR6826
ENSG00000183624.13	ENSG0000018362413	HMCES
ENSG00000184897.5	ENSG000001848975	H1FX
ENSG00000206417.8	ENSG000002064178	H1FX-AS1
ENSG00000248916.1	ENSG000002489161	NUP210P3
ENSG00000270492.1	ENSG000002704921	RP13-685P2.8
ENSG00000270773.1	ENSG000002707731	RP13-685P2.7
ENSG00000244932.2	ENSG000002449322	RP11-529F4.1
ENSG00000251474.6	ENSG000002514746	RPL32P3
ENSG00000207088.1	ENSG000002070881	SNORA7B
ENSG00000172771.11	ENSG0000017277111	EFCAB12
ENSG00000129071.9	ENSG000001290719	MBD4
ENSG00000163913.11	ENSG0000016391311	IFT122
ENSG00000163914.4	ENSG000001639144	RHO
ENSG00000178804.7	ENSG000001788047	H1FOO
ENSG00000004399.12	ENSG0000000439912	PLXND1
ENSG00000239437.3	ENSG000002394373	RN7SL752P
ENSG00000248659.1	ENSG000002486591	RP11-263I1.1
ENSG00000172765.16	ENSG0000017276516	TMCC1
ENSG00000202412.1	ENSG000002024121	RNY3P13
ENSG00000283509.1	ENSG000002835091	U6
ENSG00000203644.3	ENSG000002036443	RP11-332M2.1
ENSG00000271270.5	ENSG000002712705	TMCC1-AS1
ENSG00000250643.1	ENSG000002506431	RP11-93K22.6
ENSG00000170893.3	ENSG000001708933	TRH
ENSG00000248459.1	ENSG000002484591	RP11-93K22.1
ENSG00000249869.1	ENSG000002498691	RP11-93K22.7
ENSG00000180770.3	ENSG000001807703	OR7E129P
ENSG00000251178.1	ENSG000002511781	OR7E21P
ENSG00000251610.1	ENSG000002516101	RP11-77P16.3
ENSG00000251287.8	ENSG000002512878	ALG1L2
ENSG00000248243.1	ENSG000002482431	LINC02014
ENSG00000253540.5	ENSG000002535405	FAM86HP
ENSG00000249846.6	ENSG000002498466	LINC02021
ENSG00000248618.1	ENSG000002486181	ENPP7P3
ENSG00000250580.1	ENSG000002505801	SNRPCP8
ENSG00000228252.9	ENSG000002282529	COL6A4P2
ENSG00000249253.1	ENSG000002492531	RP11-77P16.1
ENSG00000172752.14	ENSG0000017275214	COL6A5
ENSG00000206384.10	ENSG0000020638410	COL6A6
ENSG00000196455.7	ENSG000001964557	PIK3R4
ENSG00000222783.1	ENSG000002227831	RN7SKP212
ENSG00000232829.3	ENSG000002328293	GSTO3P
ENSG00000017260.19	ENSG0000001726019	ATP2C1
ENSG00000284095.1	ENSG000002840951	RP11-39E3.6
ENSG00000250592.1	ENSG000002505921	RP11-39E3.3
ENSG00000252894.2	ENSG000002528942	Y_RNA
ENSG00000249098.1	ENSG000002490981	RP11-39E3.4
ENSG00000251579.1	ENSG000002515791	RP11-39E3.5
ENSG00000034533.11	ENSG0000003453311	ASTE1
ENSG00000114670.13	ENSG0000011467013	NEK11
ENSG00000250129.5	ENSG000002501295	RP11-265F19.1
ENSG00000201550.1	ENSG000002015501	RNU6-726P
ENSG00000250608.1	ENSG000002506081	RP11-933H2.4
ENSG00000246082.2	ENSG000002460822	NUDT16P1
ENSG00000198585.11	ENSG0000019858511	NUDT16
ENSG00000261167.1	ENSG000002611671	RP11-517B11.7
ENSG00000114686.8	ENSG000001146868	MRPL3
ENSG00000249020.1	ENSG000002490201	SNORA58
ENSG00000248468.1	ENSG000002484681	RP11-517B11.4
ENSG00000248530.1	ENSG000002485301	BCL2L12P1
ENSG00000196353.11	ENSG0000019635311	CPNE4
ENSG00000251447.1	ENSG000002514471	RP11-517B11.6
ENSG00000265859.1	ENSG000002658591	MIR5704
ENSG00000240854.1	ENSG000002408541	RP11-64K7.1
ENSG00000242899.1	ENSG000002428991	RPL7P16
ENSG00000014257.15	ENSG0000001425715	ACPP
ENSG00000240890.2	ENSG000002408902	RP11-65E22.2
ENSG00000213264.3	ENSG000002132643	NIP7P2
ENSG00000138246.15	ENSG0000013824615	DNAJC13
ENSG00000240303.7	ENSG000002403037	ACAD11
ENSG00000274810.4	ENSG000002748104	NPHP3-ACAD11
ENSG00000129048.6	ENSG000001290486	ACKR4
ENSG00000251614.1	ENSG000002516141	HSPA8P19
ENSG00000081307.12	ENSG0000008130712	UBA5
ENSG00000113971.19	ENSG0000011397119	NPHP3
ENSG00000248724.6	ENSG000002487246	NPHP3-AS1
ENSG00000249725.1	ENSG000002497251	RP11-469L4.1
ENSG00000144868.13	ENSG0000014486813	TMEM108
ENSG00000251011.5	ENSG000002510115	TMEM108-AS1
ENSG00000170819.4	ENSG000001708194	BFSP2
ENSG00000249820.1	ENSG000002498201	RP11-503I22.2
ENSG00000249993.1	ENSG000002499931	BFSP2-AS1
ENSG00000214301.4	ENSG000002143014	RP11-91K8.4
ENSG00000272832.1	ENSG000002728321	RP11-91K8.5
ENSG00000250983.1	ENSG000002509831	RP11-91K8.2
ENSG00000201827.1	ENSG000002018271	SNORA33
ENSG00000091527.15	ENSG0000009152715	CDV3
ENSG00000163781.12	ENSG0000016378112	TOPBP1
ENSG00000242337.5	ENSG000002423375	TFP1
ENSG00000252641.2	ENSG000002526412	RNU6-678P
ENSG00000201394.1	ENSG000002013941	RNA5SP140
ENSG00000091513.14	ENSG0000009151314	TF
ENSG00000244062.1	ENSG000002440621	RP11-404G16.2
ENSG00000144867.11	ENSG0000014486711	SRPRB
ENSG00000154917.10	ENSG0000015491710	RAB6B
ENSG00000221972.3	ENSG000002219723	C3orf36
ENSG00000174640.12	ENSG0000017464012	SLCO2A1
ENSG00000243832.1	ENSG000002438321	LINC02000
ENSG00000163785.12	ENSG0000016378512	RYK
ENSG00000231845.3	ENSG000002318453	HMGB3P14
ENSG00000240006.1	ENSG000002400061	LINC02004
ENSG00000260633.1	ENSG000002606331	RP11-375I20.6
ENSG00000214289.2	ENSG000002142892	RPL39P5
ENSG00000114019.14	ENSG0000011401914	AMOTL2
ENSG00000277723.1	ENSG000002777231	MIR6827
ENSG00000248377.1	ENSG000002483771	HMGN1P9
ENSG00000214288.4	ENSG000002142884	HMGB3P13
ENSG00000284561.1	ENSG000002845611	MIR4788
ENSG00000129055.12	ENSG0000012905512	ANAPC13
ENSG00000182923.16	ENSG0000018292316	CEP63
ENSG00000249691.1	ENSG000002496911	RP11-445J14.1
ENSG00000154928.16	ENSG0000015492816	EPHB1
ENSG00000174611.11	ENSG0000017461111	KY
ENSG00000253087.1	ENSG000002530871	RNU6-1174P
ENSG00000201413.1	ENSG000002014131	RNA5SP141
ENSG00000240086.5	ENSG000002400865	RP11-657O9.1
ENSG00000242222.1	ENSG000002422221	RP11-237P21.1
ENSG00000241905.1	ENSG000002419051	NDUFS6P1
ENSG00000073711.10	ENSG0000007371110	PPP2R3A
ENSG00000227267.3	ENSG000002272673	RP11-305O4.2
ENSG00000273455.1	ENSG000002734551	RP11-305O4.3
ENSG00000174579.3	ENSG000001745793	MSL2
ENSG00000241438.1	ENSG000002414381	TDGF1P6
ENSG00000244740.1	ENSG000002447401	RP11-463H24.1
ENSG00000114054.13	ENSG0000011405413	PCCB
ENSG00000118007.12	ENSG0000011800712	STAG1
ENSG00000200571.1	ENSG000002005711	RNU6-1284P
ENSG00000244101.1	ENSG000002441011	HMGN1P10
ENSG00000252914.1	ENSG000002529141	RNU6-789P
ENSG00000240695.1	ENSG000002406951	RP11-102M11.1
ENSG00000261758.1	ENSG000002617581	RP11-102M11.2
ENSG00000242968.1	ENSG000002429681	RP11-731C17.1
ENSG00000168917.8	ENSG000001689178	SLC35G2
ENSG00000273486.1	ENSG000002734861	RP11-731C17.2
ENSG00000239213.5	ENSG000002392135	NCK1-AS1
ENSG00000158092.6	ENSG000001580926	NCK1
ENSG00000214283.4	ENSG000002142834	RAD51AP1P1
ENSG00000174564.12	ENSG0000017456412	IL20RB
ENSG00000249407.1	ENSG000002494071	IL20RB-AS1
ENSG00000201325.1	ENSG000002013251	RNA5SP142
ENSG00000243886.1	ENSG000002438861	RP11-575C1.1
ENSG00000242070.1	ENSG000002420701	NPM1P17
ENSG00000168875.2	ENSG000001688752	SOX14
ENSG00000239513.5	ENSG000002395135	LINC01210
ENSG00000261146.1	ENSG000002611461	RP11-2A4.4
ENSG00000241478.1	ENSG000002414781	HSPA8P9
ENSG00000066405.12	ENSG0000006640512	CLDN18
ENSG00000272609.1	ENSG000002726091	RP11-461M2.2
ENSG00000158163.14	ENSG0000015816314	DZIP1L
ENSG00000240668.1	ENSG000002406681	KRT8P36
ENSG00000118017.3	ENSG000001180173	A4GNT
ENSG00000138231.12	ENSG0000013823112	DBR1
ENSG00000114098.17	ENSG0000011409817	ARMC8
ENSG00000181322.13	ENSG0000018132213	NME9
ENSG00000158186.12	ENSG0000015818612	MRAS
ENSG00000158220.13	ENSG0000015822013	ESYT3
ENSG00000280399.1	ENSG000002803991	RP11-80P20.3
ENSG00000114107.8	ENSG000001141078	CEP70
ENSG00000158234.12	ENSG0000015823412	FAIM
ENSG00000174715.7	ENSG000001747157	RP11-79L9.2
ENSG00000051382.8	ENSG000000513828	PIK3CB
ENSG00000239207.2	ENSG000002392072	GAPDHP39
ENSG00000242321.1	ENSG000002423211	RPL23AP40
ENSG00000241429.1	ENSG000002414291	EEF1A1P25
ENSG00000242244.1	ENSG000002422441	ATP5G1P3
ENSG00000244578.1	ENSG000002445781	LINC01391
ENSG00000183770.5	ENSG000001837705	FOXL2
ENSG00000206262.8	ENSG000002062628	FOXL2NB
ENSG00000206260.3	ENSG000002062603	PRR23A
ENSG00000175110.11	ENSG0000017511011	MRPS22
ENSG00000184814.5	ENSG000001848145	PRR23B
ENSG00000233701.3	ENSG000002337013	PRR23C
ENSG00000251137.1	ENSG000002511371	RPL7L1P7
ENSG00000232416.3	ENSG000002324163	BPESC1
ENSG00000281473.1	ENSG000002814731	PISRT1
ENSG00000276304.1	ENSG000002763041	PISRT1
ENSG00000272656.1	ENSG000002726561	RP11-219D15.3
ENSG00000184432.9	ENSG000001844329	COPB2
ENSG00000283418.1	ENSG000002834181	U6
ENSG00000248932.5	ENSG000002489325	RP11-319G6.1
ENSG00000114113.6	ENSG000001141136	RBP2
ENSG00000248790.1	ENSG000002487901	RP11-319G6.3
ENSG00000178631.7	ENSG000001786317	ACTG1P1
ENSG00000114115.9	ENSG000001141159	RBP1
ENSG00000163864.15	ENSG0000016386415	NMNAT3
ENSG00000214280.3	ENSG000002142803	RP11-553K23.2
ENSG00000201600.1	ENSG000002016001	RN7SKP124
ENSG00000244692.3	ENSG000002446923	RN7SL724P
ENSG00000261763.1	ENSG000002617631	RP11-442N1.2
ENSG00000250543.1	ENSG000002505431	RP11-442N1.1
ENSG00000251471.1	ENSG000002514711	RP11-166D18.1
ENSG00000250161.1	ENSG000002501611	TRMT112P5
ENSG00000158258.16	ENSG0000015825816	CLSTN2
ENSG00000249290.5	ENSG000002492905	RP11-68L1.2
ENSG00000251058.1	ENSG000002510581	RP11-68L1.1
ENSG00000250433.1	ENSG000002504331	CLSTN2-AS1
ENSG00000249305.1	ENSG000002493051	RP11-13L2.1
ENSG00000155890.3	ENSG000001558903	TRIM42
ENSG00000261826.1	ENSG000002618261	RP11-691G17.1
ENSG00000224085.3	ENSG000002240853	RPL23AP41
ENSG00000114120.11	ENSG0000011412011	SLC25A36
ENSG00000248773.1	ENSG000002487731	RP11-231L11.3
ENSG00000175093.4	ENSG000001750934	SPSB4
ENSG00000251270.1	ENSG000002512701	RP11-231L11.1
ENSG00000155893.12	ENSG0000015589312	PXYLP1
ENSG00000241400.1	ENSG000002414001	RP11-764I5.1
ENSG00000249417.1	ENSG000002494171	RP11-438D8.2
ENSG00000249540.1	ENSG000002495401	RP11-789L4.1
ENSG00000177311.11	ENSG0000017731111	ZBTB38
ENSG00000215606.4	ENSG000002156064	KRT18P35
ENSG00000155903.11	ENSG0000015590311	RASA2
ENSG00000250170.1	ENSG000002501701	RASA2-IT1
ENSG00000249986.1	ENSG000002499861	YWHAQP6
ENSG00000242104.4	ENSG000002421044	RP11-340E6.1
ENSG00000241899.1	ENSG000002418991	TPT1P3
ENSG00000241526.1	ENSG000002415261	RP11-144C9.1
ENSG00000114125.13	ENSG0000011412513	RNF7
ENSG00000114124.2	ENSG000001141242	GRK7
ENSG00000228398.3	ENSG000002283983	HMGN2P25
ENSG00000069849.10	ENSG0000006984910	ATP1B3
ENSG00000200389.1	ENSG000002003891	RNU6-509P
ENSG00000244124.1	ENSG000002441241	ATP1B3-AS1
ENSG00000279147.1	ENSG000002791471	RP11-271K21.12
ENSG00000114126.17	ENSG0000011412617	TFDP2
ENSG00000233597.3	ENSG000002335973	RP11-343B5.1
ENSG00000206604.1	ENSG000002066041	RNU6-425P
ENSG00000175066.15	ENSG0000017506615	GK5
ENSG00000114127.10	ENSG0000011412710	XRN1
ENSG00000251804.1	ENSG000002518041	RNU6-1294P
ENSG00000202125.1	ENSG000002021251	RNU1-100P
ENSG00000175054.14	ENSG0000017505414	ATR
ENSG00000242479.1	ENSG000002424791	RP11-383G6.4
ENSG00000244327.1	ENSG000002443271	RP11-383G6.3
ENSG00000242390.1	ENSG000002423901	RPL6P9
ENSG00000252745.1	ENSG000002527451	RNA5SP143
ENSG00000120756.12	ENSG0000012075612	PLS1
ENSG00000239641.1	ENSG000002396411	PLS1-AS1
ENSG00000199319.1	ENSG000001993191	RN7SKP25
ENSG00000144935.14	ENSG0000014493514	TRPC1
ENSG00000251787.1	ENSG000002517871	RNU7-47P
ENSG00000163710.7	ENSG000001637107	PCOLCE2
ENSG00000240950.1	ENSG000002409501	RP11-372E1.1
ENSG00000243818.4	ENSG000002438184	RP11-372E1.4
ENSG00000188582.8	ENSG000001885828	PAQR9
ENSG00000241592.1	ENSG000002415921	RP11-372E1.7
ENSG00000241570.8	ENSG000002415708	PAQR9-AS1
ENSG00000163714.17	ENSG0000016371417	U2SURP
ENSG00000268129.1	ENSG000002681291	RP11-91G21.1
ENSG00000243733.1	ENSG000002437331	RP11-80H8.3
ENSG00000175040.5	ENSG000001750405	CHST2
ENSG00000241679.2	ENSG000002416792	RP11-80H8.4
ENSG00000244171.4	ENSG000002441714	PBX2P1
ENSG00000181804.14	ENSG0000018180414	SLC9A9
ENSG00000240888.1	ENSG000002408881	RP13-635I23.3
ENSG00000240012.1	ENSG000002400121	SLC9A9-AS1
ENSG00000244493.1	ENSG000002444931	SLC9A9-AS2
ENSG00000243033.2	ENSG000002430332	GAPDHP47
ENSG00000243759.1	ENSG000002437591	ST13P15
ENSG00000248374.1	ENSG000002483741	RP11-501M7.1
ENSG00000235110.5	ENSG000002351105	RP11-8J23.1
ENSG00000181744.8	ENSG000001817448	C3orf58
ENSG00000222778.1	ENSG000002227781	RNA5SP144
ENSG00000280397.1	ENSG000002803971	RP11-42F12.1
ENSG00000244024.1	ENSG000002440241	LARP7P4
ENSG00000241695.1	ENSG000002416951	GM2AP1
ENSG00000239797.1	ENSG000002397971	RPL21P39
ENSG00000244358.1	ENSG000002443581	RP11-88H10.2
ENSG00000240095.1	ENSG000002400951	RP11-88H10.3
ENSG00000261051.1	ENSG000002610511	RP11-274H2.5
ENSG00000243415.2	ENSG000002434152	RP11-274H2.2
ENSG00000240032.1	ENSG000002400321	LNCSRLR
ENSG00000152952.11	ENSG0000015295211	PLOD2
ENSG00000114698.14	ENSG0000011469814	PLSCR4
ENSG00000243596.1	ENSG000002435961	RP11-758I14.2
ENSG00000241358.1	ENSG000002413581	RP11-758I14.3
ENSG00000163746.11	ENSG0000016374611	PLSCR2
ENSG00000279320.1	ENSG000002793201	RP11-329N15.3
ENSG00000188313.12	ENSG0000018831312	PLSCR1
ENSG00000199812.1	ENSG000001998121	RNU6-428P
ENSG00000231213.6	ENSG000002312136	PLSCR5
ENSG00000241457.1	ENSG000002414571	PLSCR5-AS1
ENSG00000243620.1	ENSG000002436201	RP11-649A16.1
ENSG00000242671.1	ENSG000002426711	LINC02010
ENSG00000207156.1	ENSG000002071561	RNU6-505P
ENSG00000239412.1	ENSG000002394121	RPL21P71
ENSG00000174963.17	ENSG0000017496317	ZIC4
ENSG00000241202.1	ENSG000002412021	ZIC4-AS1
ENSG00000152977.9	ENSG000001529779	ZIC1
ENSG00000240804.1	ENSG000002408041	NPM1P28
ENSG00000239661.1	ENSG000002396611	RP11-78O22.1
ENSG00000239922.1	ENSG000002399221	RP11-71N10.1
ENSG00000241131.1	ENSG000002411311	LINC02032
ENSG00000241792.1	ENSG000002417921	RP11-501O2.1
ENSG00000244650.2	ENSG000002446502	RP11-501O2.3
ENSG00000205412.5	ENSG000002054125	HNRNPA1P20
ENSG00000243347.1	ENSG000002433471	LINC02045
ENSG00000242440.1	ENSG000002424401	LINC02046
ENSG00000241993.1	ENSG000002419931	RPL38P1
ENSG00000144891.17	ENSG0000014489117	AGTR1
ENSG00000153002.11	ENSG0000015300211	CPB1
ENSG00000244089.1	ENSG000002440891	HMGB1P30
ENSG00000240521.1	ENSG000002405211	RP11-680B3.2
ENSG00000163751.3	ENSG000001637513	CPA3
ENSG00000241627.3	ENSG000002416273	UBQLN4P1
ENSG00000163754.17	ENSG0000016375417	GYG1
ENSG00000071794.15	ENSG0000007179415	HLTF
ENSG00000239718.1	ENSG000002397181	HLTF-AS1
ENSG00000201031.1	ENSG000002010311	Y_RNA
ENSG00000240511.1	ENSG000002405111	MED28P2
ENSG00000163755.8	ENSG000001637558	HPS3
ENSG00000047457.13	ENSG0000004745713	CP
ENSG00000240216.7	ENSG000002402167	CPHL1P
ENSG00000244468.1	ENSG000002444681	RP11-206M11.7
ENSG00000163762.6	ENSG000001637626	TM4SF18
ENSG00000243822.1	ENSG000002438221	RP11-2G17.1
ENSG00000169908.11	ENSG0000016990811	TM4SF1
ENSG00000240541.2	ENSG000002405412	TM4SF1-AS1
ENSG00000243885.1	ENSG000002438851	RP11-278L15.2
ENSG00000240246.1	ENSG000002402461	RP11-167H9.1
ENSG00000241929.1	ENSG000002419291	RP11-278L15.3
ENSG00000282502.1	ENSG000002825021	FKBP1AP4
ENSG00000239408.1	ENSG000002394081	RP11-278L15.4
ENSG00000169903.6	ENSG000001699036	TM4SF4
ENSG00000244503.1	ENSG000002445031	RP11-278L15.6
ENSG00000018408.14	ENSG0000001840814	WWTR1
ENSG00000252581.1	ENSG000002525811	RNU6-1098P
ENSG00000241985.1	ENSG000002419851	WWTR1-IT1
ENSG00000241313.2	ENSG000002413132	WWTR1-AS1
ENSG00000114744.8	ENSG000001147448	COMMD2
ENSG00000206199.10	ENSG0000020619910	ANKUB1
ENSG00000251854.1	ENSG000002518541	RNU6-507P
ENSG00000082996.19	ENSG0000008299619	RNF13
ENSG00000252172.1	ENSG000002521721	RNU6-720P
ENSG00000239351.1	ENSG000002393511	NPM1P29
ENSG00000070087.13	ENSG0000007008713	PFN2
ENSG00000242791.2	ENSG000002427912	RP11-651P23.5
ENSG00000224831.3	ENSG000002248313	RP11-651P23.4
ENSG00000182000.9	ENSG000001820009	RP11-651P23.2
ENSG00000241947.1	ENSG000002419471	HNRNPA1P24
ENSG00000243944.5	ENSG000002439445	RP11-167H9.4
ENSG00000240477.1	ENSG000002404771	RP11-63E16.1
ENSG00000243321.3	ENSG000002433213	LINC01998
ENSG00000241143.1	ENSG000002411431	RPL32P9
ENSG00000241048.1	ENSG000002410481	RP11-167H9.5
ENSG00000244541.5	ENSG000002445415	LINC01213
ENSG00000278234.1	ENSG000002782341	U2
ENSG00000243550.2	ENSG000002435502	LINC01214
ENSG00000196428.12	ENSG0000019642812	TSC22D2
ENSG00000120742.10	ENSG0000012074210	SERP1
ENSG00000144895.11	ENSG0000014489511	EIF2A
ENSG00000198843.12	ENSG0000019884312	SELENOT
ENSG00000271711.1	ENSG000002717111	RP11-392O18.2
ENSG00000163645.14	ENSG0000016364514	ERICH6
ENSG00000240137.5	ENSG000002401375	ERICH6-AS1
ENSG00000244668.1	ENSG000002446681	SNRPCP3
ENSG00000181788.3	ENSG000001817883	SIAH2
ENSG00000244265.1	ENSG000002442651	SIAH2-AS1
ENSG00000239265.5	ENSG000002392655	CLRN1-AS1
ENSG00000214237.10	ENSG0000021423710	MINDY4B
ENSG00000260234.5	ENSG000002602345	RP11-166N6.3
ENSG00000243273.1	ENSG000002432731	RP11-166N6.2
ENSG00000163646.10	ENSG0000016364610	CLRN1
ENSG00000276055.1	ENSG000002760551	CLRN1-AS1
ENSG00000144893.12	ENSG0000014489312	MED12L
ENSG00000199994.1	ENSG000001999941	RNA5SP145
ENSG00000174946.6	ENSG000001749466	GPR171
ENSG00000174944.8	ENSG000001749448	P2RY14
ENSG00000239570.1	ENSG000002395701	SETP11
ENSG00000138271.5	ENSG000001382715	GPR87
ENSG00000181631.6	ENSG000001816316	P2RY13
ENSG00000169313.9	ENSG000001693139	P2RY12
ENSG00000152580.8	ENSG000001525808	IGSF10
ENSG00000242810.1	ENSG000002428101	MRPL42P6
ENSG00000242119.1	ENSG000002421191	RP11-312P21.2
ENSG00000264330.1	ENSG000002643301	MIR5186
ENSG00000241151.1	ENSG000002411511	LINC02066
ENSG00000197953.5	ENSG000001979535	AADACL2
ENSG00000242908.6	ENSG000002429086	AADACL2-AS1
ENSG00000242097.1	ENSG000002420971	RP11-64D22.1
ENSG00000240602.7	ENSG000002406027	AADACP1
ENSG00000250271.2	ENSG000002502712	RP11-64D22.5
ENSG00000114771.13	ENSG0000011477113	AADAC
ENSG00000198829.6	ENSG000001988296	SUCNR1
ENSG00000239941.1	ENSG000002399411	RP11-246A10.1
ENSG00000152601.17	ENSG0000015260117	MBNL1
ENSG00000229619.3	ENSG000002296193	MBNL1-AS1
ENSG00000221962.5	ENSG000002219625	TMEM14EP
ENSG00000201217.1	ENSG000002012171	Y_RNA
ENSG00000243305.1	ENSG000002433051	RP11-362A9.3
ENSG00000244545.1	ENSG000002445451	RP11-788A4.1
ENSG00000242561.1	ENSG000002425611	ATP5LP5
ENSG00000169860.6	ENSG000001698606	P2RY1
ENSG00000241810.1	ENSG000002418101	HMGN2P13
ENSG00000241671.1	ENSG000002416711	RP11-529G21.3
ENSG00000244268.1	ENSG000002442681	RP11-529G21.2
ENSG00000181467.4	ENSG000001814674	RAP2B
ENSG00000265813.2	ENSG000002658132	RN7SL300P
ENSG00000241220.1	ENSG000002412201	RP11-292E2.1
ENSG00000241912.1	ENSG000002419121	RP11-292E2.2
ENSG00000238755.3	ENSG000002387553	LINC02006
ENSG00000243012.1	ENSG000002430121	LINC02083
ENSG00000207323.1	ENSG000002073231	RNU6-901P
ENSG00000237787.4	ENSG000002377874	C3orf79
ENSG00000200162.1	ENSG000002001621	Y_RNA
ENSG00000243486.1	ENSG000002434861	RP11-217E22.5
ENSG00000201398.1	ENSG000002013981	U8
ENSG00000240068.1	ENSG000002400681	RPL21P42
ENSG00000243069.7	ENSG000002430697	ARHGEF26-AS1
ENSG00000114790.12	ENSG0000011479012	ARHGEF26
ENSG00000174953.13	ENSG0000017495313	DHX36
ENSG00000271922.1	ENSG000002719221	snoU13
ENSG00000279305.1	ENSG000002793051	RP11-316N24.2
ENSG00000174948.5	ENSG000001749485	GPR149
ENSG00000240048.1	ENSG000002400481	DDX50P2
ENSG00000243861.1	ENSG000002438611	RP11-656A15.1
ENSG00000243154.1	ENSG000002431541	CTD-2501O3.2
ENSG00000242151.1	ENSG000002421511	DYNLL1P5
ENSG00000240601.1	ENSG000002406011	RPL9P15
ENSG00000243969.1	ENSG000002439691	RP11-439C8.1
ENSG00000243953.1	ENSG000002439531	RP11-439C8.2
ENSG00000196549.10	ENSG0000019654910	MME
ENSG00000240666.2	ENSG000002406662	MME-AS1
ENSG00000241336.1	ENSG000002413361	LINC01487
ENSG00000240045.1	ENSG000002400451	RP11-451G4.2
