	CD34+	CD56+ NK	CD4+/CD45RA+/CD25- Naive T	CD4+/CD25 T Reg	CD8+/CD45RA+ Naive Cytotoxic	CD4+/CD45RO+ Memory	CD8+ Cytotoxic T	CD19+ B	CD4+ T Helper2	CD14+ Monocyte	Dendritic
ENSG00000157510	    0.31338	    0.07416	    0.46589	    0.15406	    0.27711	    0.06178	    0.18186	    0.14191	    0.12914	    0.5464	    2.443
ENSG00000164284	    1.84546	    2.52139	    7.45428	    9.70606	    3.76876	    5.12805	    3.09167	    1.63196	    6.97359	    2.1854	    7.328
ENSG00000253618	    0.06964	    0.14832	    0.07765	    0.15406	    0.05542	    0.06178	    0.12124	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000145882	    6.82471	    3.78209	    6.75544	    8.62761	    6.26280	    5.56054	    3.51601	    2.48341	    6.26331	    1.6391	   12.214
ENSG00000253865	    0.03482	    0.07416	    0.07765	    0.23110	    0.38796	    0.18535	    0.06062	    0.14191	    0.06457	    0.5464	    2.443
ENSG00000113712	   88.86048	   69.26420	   64.13790	   67.94244	   46.72157	   50.66268	   63.83386	   64.71058	   70.76899	   44.8011	   73.282
ENSG00000183111	    5.22299	   17.13065	    7.84253	   14.63613	   10.03156	   11.61535	    6.85017	    7.45023	    8.26499	   12.5662	    7.328
ENSG00000155846	    0.87050	    0.22248	    0.69884	    0.46219	    0.99761	    0.74141	    1.45490	    1.49005	    0.64570	    4.3708	    2.443
ENSG00000132915	    0.13928	    0.14832	    0.07765	    0.07703	    0.05542	    0.06178	    0.12124	    0.14191	    0.06457	    0.5464	    2.443
ENSG00000155850	    3.89983	    2.15060	    0.85414	    1.30955	    1.27473	    1.35924	    1.39428	    1.34814	    1.74340	    1.6391	    2.443
ENSG00000164296	    2.15884	    2.07644	    2.17417	    2.07987	    2.38319	    1.48281	    1.03056	    2.19959	    1.93711	    1.6391	    7.328
ENSG00000113716	   10.20224	   13.42272	    2.95065	    4.08271	    2.99284	    5.37519	    9.45687	   10.43032	    3.35765	   10.3807	    2.443
ENSG00000182578	    0.76604	    0.07416	    0.07765	    0.07703	    0.05542	    0.12357	    0.06062	    0.07095	    0.06457	   87.4168	   12.214
ENSG00000113721	    0.27856	    4.22704	    0.07765	    0.07703	    0.16627	    0.06178	    0.12124	    0.42573	    0.06457	    1.0927	    2.443
ENSG00000070814	   16.92249	   18.02056	   15.06386	   18.71884	   11.52798	   14.33383	   13.94282	   17.88055	   15.62600	   13.6589	   12.214
ENSG00000019582	 2148.56413	  484.84938	  260.58933	  613.25369	  193.37078	  363.22673	  351.54088	14938.77720	  446.69697	 5980.9508	20069.471
ENSG00000164587	 9690.24882	 6574.53688	 9654.92801	 7648.53145	12521.99115	10899.52027	11717.18049	 8541.15752	 8808.60856	 9607.1105	 5205.458
ENSG00000254333	    0.76604	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    1.0927	    2.443
ENSG00000070614	    1.46244	    0.22248	    0.15530	    0.07703	    0.05542	    0.06178	    0.06062	    0.85145	    0.25828	    7.1026	    4.885
ENSG00000171992	    0.03482	    0.14832	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    6.88259	    0.06457	    0.5464	    2.443
ENSG00000164591	    3.20343	    0.14832	    0.07765	    0.07703	    0.11085	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000086589	   49.51395	   53.83919	   40.99856	   45.06386	   22.94511	   26.25810	   31.58351	   41.50843	   46.87800	   12.0198	   31.755
ENSG00000132912	    8.46124	    5.63606	    2.87301	    2.00284	    2.05065	    2.28600	    2.84918	    3.47677	    3.22851	    3.8245	    4.885
ENSG00000269636	    0.13928	    0.22248	    0.07765	    0.15406	    0.05542	    0.06178	    0.06062	    0.07095	    0.19371	    0.5464	    2.443
ENSG00000237693	    0.20892	    1.40901	    0.62119	    1.30955	    0.83134	    1.11211	    0.60621	    0.14191	    1.03312	    0.5464	    2.443
ENSG00000145908	    1.11424	    1.33486	    0.77649	    0.30813	    0.55423	    0.06178	    0.30310	    0.99336	    0.25828	    0.5464	    2.443
ENSG00000211445	    0.03482	    0.07416	    0.07765	    0.07703	    0.05542	    0.12357	    0.06062	    0.07095	    0.06457	    1.6391	    7.328
ENSG00000145901	   48.33007	   54.65494	   44.72570	   96.21327	   28.70910	   66.54111	   41.94970	   77.34049	   62.18115	   76.4897	   53.740
ENSG00000197043	   53.97090	  240.19993	  159.80121	  201.82448	  111.01223	  163.35626	  123.90922	  147.15980	  207.14135	   47.5329	  131.907
ENSG00000254298	    0.06964	    0.14832	    0.07765	    0.07703	    0.05542	    0.06178	    0.12124	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000198624	   25.87121	   85.13415	   44.18216	   46.83560	   37.57678	   30.89188	   48.07241	   39.09597	   35.77192	   61.7381	   36.641
ENSG00000196743	    5.50155	    3.11466	    1.55298	    3.31239	    2.16150	    2.96562	    1.63677	   14.82951	    2.13082	   30.0495	   29.313
ENSG00000123643	    0.27856	    0.81575	    0.46589	    0.84735	    0.38796	    0.98854	    0.36373	    0.63859	    0.32285	    2.1854	    2.443
ENSG00000271795	    0.24374	    0.14832	    0.15530	    0.15406	    0.22169	    0.24714	    0.18186	    0.21286	    0.06457	    1.0927	    2.443
ENSG00000113140	   29.10947	    0.37079	    0.38824	    0.07703	    0.05542	    0.12357	    0.12124	    0.07095	    0.06457	    2.7318	    2.443
ENSG00000272112	    0.80086	    0.66743	    0.23295	    0.23110	    0.22169	    0.24714	    0.30310	    0.56764	    0.32285	    1.0927	    4.885
ENSG00000177556	   95.12806	  101.74570	   19.33455	   30.50477	   28.65368	   37.19382	   31.34103	   31.43288	   21.76017	  184.1217	   75.725
ENSG00000145907	   34.68066	   34.85457	   39.98913	   46.21935	   30.20552	   30.58296	   25.33956	   22.35069	   45.07003	    8.1953	   29.313
ENSG00000254226	    0.20892	    0.07416	    0.07765	    0.15406	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000055147	   11.21202	   10.82717	    7.84253	    8.93574	    7.14956	    5.80767	    6.00147	    6.10209	    9.36269	    2.1854	   19.542
ENSG00000037749	    1.14906	    1.55733	    0.93179	    1.07845	    1.16388	    1.23568	    1.03056	    0.85145	    1.03312	    1.0927	    2.443
ENSG00000164574	    4.97925	   12.31034	    1.47533	    5.00710	    3.21453	    6.85800	    5.51651	   12.27514	    3.74507	    6.0099	    7.328
ENSG00000245275	    0.06964	    0.59327	    0.07765	    0.07703	    0.16627	    0.06178	    0.12124	    0.07095	    0.12914	    1.0927	    2.443
ENSG00000164576	    3.09897	    3.93041	    2.25181	    2.00284	    2.27234	    3.58346	    2.48546	    2.76723	    2.32453	    2.7318	    2.443
ENSG00000155506	   32.76556	   11.42044	   14.36503	   12.40219	   18.40043	   24.28102	   16.67076	   20.08015	   13.10776	   28.4105	   14.656
ENSG00000170271	    1.81064	    0.22248	    0.15530	    0.23110	    0.05542	    0.12357	    0.12124	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000155508	   34.61102	   37.30181	   53.73296	   50.53315	   32.08991	   30.95366	   22.06602	   22.84737	   59.59834	   17.4834	   61.068
ENSG00000082516	    3.27307	    2.52139	    2.09652	    1.38658	    1.71811	    1.48281	    1.57614	    2.19959	    2.64738	    0.5464	    9.771
ENSG00000082515	   83.63749	   70.52490	   67.70974	   70.63857	   60.30020	   57.76782	   50.43663	   49.02961	   67.86333	   28.9568	   73.282
ENSG00000170624	    0.06964	    0.14832	    0.07765	    0.07703	    0.05542	    0.06178	    0.12124	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000145850	    0.13928	    0.51911	    0.62119	    0.92439	    1.10846	    0.74141	    1.09118	    0.07095	    1.03312	    0.5464	    2.443
ENSG00000113249	    0.03482	    0.07416	    0.62119	    0.30813	    0.55423	    0.06178	    0.30310	    0.07095	    0.90398	    0.5464	    2.443
ENSG00000135077	    2.43740	   53.54256	    2.56241	    2.92723	    2.16150	    1.23568	    1.33366	    0.21286	    2.25996	   18.0297	   63.511
ENSG00000155868	   11.94324	   20.24532	   10.63788	    8.78168	    9.08937	    9.14400	    6.85017	    8.08882	   12.39749	    3.2781	    7.328
ENSG00000113263	    0.03482	   16.46322	   48.37520	   38.36206	   35.08275	   31.44793	   24.30900	    0.14191	   39.71070	    0.5464	    2.443
ENSG00000253653	    0.03482	    0.37079	    0.15530	    0.23110	    0.22169	    0.12357	    0.18186	    0.28382	    0.19371	    0.5464	    2.443
ENSG00000055163	   29.42285	   52.20770	   45.73514	   41.44335	   43.61789	   48.50025	   42.79839	   41.65034	   41.45410	    8.1953	   12.214
ENSG00000172568	    0.03482	    0.07416	    0.07765	    0.15406	    0.05542	    0.12357	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000248544	    0.03482	    0.14832	    0.07765	    0.07703	    0.11085	    0.24714	    0.06062	    0.21286	    0.06457	    0.5464	    2.443
ENSG00000135074	    0.62676	    0.07416	    0.07765	    2.61910	    0.05542	    5.25162	    0.30310	   14.47473	    1.61426	    4.9172	    2.443
ENSG00000172548	    0.06964	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    2.98009	    0.06457	    0.5464	    2.443
ENSG00000039600	    0.03482	    0.07416	    0.15530	    0.15406	    0.05542	    0.18535	    0.06062	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000113272	   31.51204	    9.19568	   15.60741	   13.71174	   15.01963	    9.02043	   13.63971	   12.84278	   11.68721	   20.2151	   17.099
ENSG00000155858	    0.55712	    0.88990	    0.77649	    0.92439	    0.55423	    0.30892	    0.60621	    0.49668	    0.77484	    0.5464	    2.443
ENSG00000113282	   39.41617	   44.86600	   13.74384	   19.95135	    9.14479	   12.23318	   21.88416	   18.30628	   15.94885	   12.0198	   14.656
ENSG00000164330	    0.34820	    0.07416	    0.07765	    0.23110	    0.05542	    0.12357	    0.18186	   15.04237	    0.12914	    0.5464	    2.443
ENSG00000245812	    0.24374	    0.07416	    0.31060	    0.15406	    0.05542	    0.06178	    0.06062	    4.75396	    0.06457	    0.5464	    2.443
ENSG00000145860	   27.92559	   46.20085	   39.05734	   44.75573	   32.58871	   40.90085	   37.94871	   33.13579	   37.06332	   20.2151	   24.427
ENSG00000253256	    0.13928	    0.07416	    0.23295	    0.15406	    0.16627	    0.12357	    0.18186	    0.14191	    0.12914	    1.0927	    2.443
ENSG00000164332	   14.41545	   23.06335	   15.06386	   13.09548	   15.35217	   11.30643	   10.91177	    9.43696	   15.43229	    4.3708	    7.328
ENSG00000249738	    0.03482	    0.07416	    0.07765	    0.15406	    0.05542	    0.24714	    0.06062	    0.85145	    0.06457	    0.5464	    2.443
ENSG00000113312	   69.88361	   99.74341	   70.50510	   88.58708	   57.80617	   63.57549	   73.59383	   69.18072	   80.26082	   34.9667	  109.923
ENSG00000170234	   21.20534	   20.39363	    7.53193	    9.93716	    6.81703	    7.78475	   18.79249	   22.27974	    9.49183	    9.8344	    4.885
ENSG00000135083	    0.10446	    9.93726	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000221886	    0.87050	    0.22248	    0.31060	    0.15406	    0.22169	    0.12357	    0.18186	    0.14191	    0.19371	    0.5464	    2.443
ENSG00000164609	   70.64965	   83.65098	   58.08129	   73.10360	   40.51420	   52.82511	   48.61800	   64.49771	   65.34509	   29.5032	   56.183
ENSG00000164611	   30.36298	   12.31034	    4.58128	   37.05251	    4.10130	   20.07972	   11.21488	    9.43696	   16.07799	   10.3807	   31.755
ENSG00000253522	    1.74100	    0.59327	    0.77649	    3.38942	    0.22169	    0.80319	    0.48497	    0.07095	    0.77484	    0.5464	    2.443
ENSG00000145864	    0.03482	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.28382	    0.06457	    0.5464	    2.443
ENSG00000250061	    0.06964	    0.07416	    0.07765	    0.15406	    0.11085	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000113328	  141.33412	   49.76047	  116.39553	   95.75108	   87.73458	   49.98306	   76.92798	   54.91884	  110.41512	    6.0099	   83.053
ENSG00000170584	   99.30646	   74.08451	   73.22281	   70.86966	   66.72927	   65.55257	   64.44007	   56.69271	   75.61176	   21.3079	   65.954
ENSG00000072571	    0.59194	    1.70565	    0.07765	    1.46361	    0.05542	    0.98854	    0.18186	    0.63859	    1.03312	    0.5464	    4.885
ENSG00000038274	   36.56093	  100.85579	  101.71991	  117.78230	   75.09814	   72.03986	   59.28729	   52.57734	  119.13211	   11.4735	   46.412
ENSG00000113645	    0.03482	    0.07416	    0.15530	    0.30813	    0.05542	    0.24714	    0.06062	    0.07095	    0.19371	    0.5464	    2.443
ENSG00000113643	   27.43811	   14.98005	   19.02395	   17.48632	   21.72581	   12.72745	   15.15524	    7.73405	   22.01845	    7.1026	   41.526
ENSG00000188573	    0.17410	    0.14832	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000120137	    5.53637	    5.56190	    1.94122	    2.00284	    2.05065	    3.27454	    2.42484	    2.69627	    1.80797	    1.6391	    2.443
ENSG00000040275	    8.00859	    6.82260	    4.19303	    4.15974	    3.38080	    2.47135	    4.00098	    2.98009	    5.16562	    2.1854	    2.443
ENSG00000134516	   22.38922	   18.39135	    9.24021	   10.01419	   10.47494	   18.34978	   14.36716	   21.64115	    9.23355	   46.9866	   34.198
ENSG00000253269	    0.03482	    0.07416	    0.07765	    0.07703	    0.11085	    0.12357	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000249601	    0.03482	    0.07416	    0.07765	    0.07703	    0.11085	    0.06178	    0.12124	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000234511	    0.03482	    0.07416	    0.15530	    0.07703	    0.05542	    0.12357	    0.06062	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000043462	   25.90603	   53.39424	   47.59871	   53.22928	   37.46593	   42.63079	   38.06996	    1.77386	   44.55347	   15.8443	   19.542
ENSG00000235172	    0.13928	    0.44495	    0.46589	    0.23110	    0.22169	    0.30892	    0.12124	    0.07095	    0.25828	    1.6391	    2.443
ENSG00000182132	    0.13928	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000145936	    1.49726	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.12124	    0.14191	    0.12914	    8.1953	   24.427
ENSG00000204764	    1.18388	    2.00228	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000181163	 2302.01559	  624.11937	 1610.59117	 1246.07357	 1430.52256	  988.35481	 1350.14975	 1034.23395	 1511.39578	  254.0552	 1025.947
ENSG00000156427	    0.10446	    0.14832	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.21286	    0.06457	    0.5464	    2.443
ENSG00000072803	    7.52111	    8.45409	    4.34833	    5.00710	    3.49165	    4.01594	    4.72843	    8.23073	    4.58449	   10.3807	    4.885
ENSG00000072786	   15.66897	   69.56083	   28.10886	   37.97690	   25.21746	   46.33782	   30.79544	   21.49924	   34.86793	   69.9335	   19.542
ENSG00000214360	    0.06964	    0.14832	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.19371	    0.5464	    2.443
ENSG00000168246	    2.64632	    0.81575	    1.00943	    1.69471	    0.77592	    0.98854	    1.27304	    1.34814	    1.03312	    0.5464	    2.443
ENSG00000174705	    0.20892	    0.07416	    0.15530	    0.07703	    0.05542	    0.06178	    0.18186	    0.07095	    0.06457	    1.6391	    2.443
ENSG00000214357	    1.98474	    0.29663	    0.15530	    0.15406	    0.05542	    0.06178	    0.12124	    0.14191	    0.06457	    0.5464	    2.443
ENSG00000253736	    0.03482	    0.29663	    0.07765	    0.23110	    0.22169	    0.18535	    0.06062	    0.07095	    0.19371	    0.5464	    2.443
ENSG00000120129	  676.69063	 1079.89855	  322.16482	 1311.62801	  268.80146	  664.17542	 1042.80154	  903.89039	  571.89868	 1293.7692	 1167.625
ENSG00000113719	   44.36060	   28.62525	    9.62845	   14.17393	   11.08460	    9.63827	   12.85164	   35.19347	    8.58784	   34.4204	   26.870
ENSG00000204758	    0.17410	    0.29663	    0.07765	    0.15406	    0.22169	    0.12357	    0.12124	    0.14191	    0.06457	    0.5464	    2.443
ENSG00000037241	   46.20605	   37.82092	   28.57475	   34.35638	   28.59826	   32.43647	   27.03694	   18.94487	   30.15431	   49.7183	   43.969
ENSG00000113732	  172.91580	  406.53783	  315.64233	  359.20135	  320.12314	  359.58148	  264.79230	  263.80913	  384.51582	  507.5640	  483.661
ENSG00000164463	   18.69831	   24.76900	   17.23803	   25.26658	   10.58579	   15.50772	   22.24789	   22.49260	   16.85283	   10.9271	    7.328
ENSG00000253172	    0.13928	    1.33486	    0.54354	    1.84877	    0.72050	    1.60638	    0.66683	    0.21286	    1.29140	    0.5464	    2.443
ENSG00000113734	   10.44598	   12.82945	   13.82148	   16.79303	   12.85813	   12.35675	   12.60916	    9.29505	   15.69057	    9.2880	   24.427
ENSG00000145919	   23.57310	   18.68798	   33.31133	   23.57187	   28.65368	   18.78226	   21.15671	   21.35733	   28.86290	    8.1953	   21.985
ENSG00000254211	    0.03482	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.49668	    0.06457	    0.5464	    2.443
ENSG00000113742	    4.00429	    4.89447	    4.03774	    2.15690	    4.37842	    4.63378	    2.72794	    5.46350	    3.35765	    2.1854	    2.443
ENSG00000120149	    0.10446	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000164466	   18.59385	   19.28125	   21.81931	   24.95845	   24.77407	   26.69058	   35.34201	   11.99132	   24.92412	    2.7318	    2.443
ENSG00000113749	    1.21870	    0.07416	    8.92961	    5.93148	    7.75922	    6.11659	    4.91030	    0.07095	    4.64906	   39.8839	    2.443
ENSG00000051596	    9.01836	   11.64291	   28.96300	   32.27651	   17.40282	   23.04534	   13.51847	   10.00460	   34.02852	    6.5563	    9.771
ENSG00000250992	    0.03482	    0.07416	    0.31060	    0.53923	    0.33254	    0.18535	    0.30310	    0.14191	    0.19371	    0.5464	    2.443
ENSG00000248469	    0.03482	    0.07416	    0.38824	    0.61626	    0.11085	    0.18535	    0.06062	    0.07095	    0.38742	    0.5464	    2.443
ENSG00000182230	    0.03482	    0.07416	    2.95065	    2.07987	    2.49403	    3.21276	    1.75801	    0.14191	    2.77652	    0.5464	    2.443
ENSG00000251458	    0.03482	    0.07416	    0.15530	    0.07703	    0.11085	    0.12357	    0.06062	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000170085	    1.46244	    2.37308	    2.79536	    2.77316	    0.99761	    1.29746	    0.96994	    3.76059	    2.25996	    1.0927	    7.328
ENSG00000122203	   12.74410	   15.57332	   21.50871	   24.34219	   13.68948	   13.59243	   15.39772	   15.25523	   21.76017	    6.5563	   14.656
ENSG00000175414	    1.49726	    0.74159	    0.93179	    1.07845	    0.88677	    1.35924	    0.84869	    1.77386	    0.71027	    0.5464	    2.443
ENSG00000048162	   19.77772	   14.01599	   18.86866	   18.02554	   17.56908	   18.96761	   14.06406	   21.07351	   20.01678	   25.6787	   34.198
ENSG00000146066	  352.76077	  284.62098	  323.25191	  352.11438	  394.33451	  439.46789	  387.97406	  359.03017	  357.26718	  823.3573	  530.072
ENSG00000175416	   48.85237	  116.28079	  100.71048	  135.26862	   79.69825	  110.90185	   87.77913	   72.51558	  119.64867	  183.0290	  236.945
ENSG00000113194	    8.56570	    8.37993	    3.26125	    3.54348	    3.10369	    4.63378	    5.94085	    4.25727	    3.61593	    7.1026	   19.542
ENSG00000146083	   12.91820	   20.69027	   22.75110	   27.80864	   18.67754	   21.99502	   16.79200	   16.31955	   22.59959	   16.9370	   17.099
ENSG00000074276	    0.03482	    0.07416	    0.07765	    0.15406	    0.05542	    0.24714	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000169258	    0.03482	    0.29663	    0.07765	    0.07703	    0.05542	    0.24714	    0.18186	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000048140	   10.44598	   11.19796	    9.55080	   14.48206	    7.26041	    9.39113	    8.97190	    6.03114	   11.62264	    9.8344	    9.771
ENSG00000160883	    0.17410	    0.07416	    0.07765	    0.07703	    0.11085	    0.06178	    0.06062	    0.07095	    0.06457	   51.3574	    9.771
ENSG00000087206	   14.79847	   15.49916	   13.35559	   16.56193	    9.25564	   11.43000	   11.82108	   19.22869	   13.30147	   16.9370	   17.099
ENSG00000113761	    5.04889	    5.33942	    6.05661	    6.16258	    4.54468	    2.96562	    3.21291	    5.25064	    5.29476	    3.8245	    7.328
ENSG00000160867	    0.10446	    0.07416	    0.23295	    0.07703	    0.05542	    0.06178	    0.12124	    0.14191	    0.12914	    0.5464	    2.443
ENSG00000165671	   36.07345	   48.79640	   25.70175	   22.33935	   20.11854	   22.98356	   28.73433	   36.39970	   24.66583	   20.7615	   29.313
ENSG00000169228	    5.32745	   14.09015	    9.70610	    7.62619	    9.92071	    4.94270	    9.03252	   18.87392	    7.55472	   61.7381	   17.099
ENSG00000213347	    3.37753	    5.93269	    2.17417	    3.46645	    1.10846	    2.34778	    2.00049	    3.12200	    1.87254	   32.7813	    4.885
ENSG00000169230	  151.78010	  295.81893	  196.60673	  250.58589	  169.42805	  204.99852	  171.67852	  186.96532	  231.74262	  829.9136	  498.317
ENSG00000169223	  113.58263	  202.00822	  152.34692	  182.87455	  115.77861	  144.38865	  128.75889	   99.83309	  178.66587	  181.9363	  188.090
ENSG00000169220	   30.78082	   43.45698	   62.97317	   94.36450	   47.49749	   66.54111	   40.31293	   30.08474	   81.22937	   36.6058	   46.412
ENSG00000131183	    0.03482	    0.22248	    0.07765	    0.07703	    0.05542	    0.12357	    0.06062	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000131187	    2.05438	    0.88990	    0.93179	    3.15832	    0.60965	    4.38665	    1.81863	    2.34150	    2.25996	    5.4636	    4.885
ENSG00000198055	   31.30312	  117.98644	  146.44562	  181.48797	   94.16364	  116.21525	  104.81362	  106.36091	  168.98034	   50.8110	   46.412
ENSG00000246334	    0.10446	    1.85397	    0.54354	    1.61768	    0.94219	    2.28600	    1.51552	    0.42573	    1.87254	    1.6391	    2.443
ENSG00000131188	   19.91700	   45.60758	   35.17490	   54.69289	   45.16973	   52.70155	   46.31440	   77.62431	   43.39121	   44.2548	   26.870
ENSG00000113758	   21.17052	    3.70793	    2.01887	    0.77032	   14.35455	    0.43249	   14.48841	    0.07095	    1.80797	    0.5464	   51.297
ENSG00000196923	   13.85833	    3.33714	    7.06604	    7.00993	    7.48210	    4.69557	    7.82010	    8.37264	    7.42558	   30.5959	   65.954
ENSG00000146094	    8.84426	    0.14832	    0.23295	    0.07703	    0.11085	    0.06178	    0.06062	   14.90046	    0.06457	   27.3178	    4.885
ENSG00000183258	   25.66229	   18.68798	   25.85705	   27.03832	   17.84620	   19.09118	   16.18579	   22.06687	   26.21552	   28.9568	   19.542
ENSG00000146067	    4.52659	    3.33714	    3.64949	    2.46503	    4.54468	    5.25162	    3.03105	    5.46350	    3.03480	   17.4834	    9.771
ENSG00000272459	    0.55712	    0.88990	    0.07765	    0.23110	    0.33254	    0.43249	    0.06062	    0.14191	    0.32285	    0.5464	    2.443
ENSG00000184840	  148.29811	  212.24211	  127.42166	  176.78900	   98.48664	  148.71351	  126.45530	  121.33233	  173.88768	  226.7374	  251.601
ENSG00000027847	   17.44479	   16.16659	   19.02395	   19.87432	   15.01963	   15.69308	   12.00295	   17.66769	   17.75682	   26.2251	   14.656
ENSG00000247679	    0.34820	    0.14832	    0.62119	    0.77032	    0.55423	    0.55605	    0.60621	    0.28382	    0.64570	    1.0927	    2.443
ENSG00000170074	    0.03482	    0.07416	    4.03774	    0.92439	    1.71811	    1.60638	    1.81863	    0.28382	    1.93711	    0.5464	    2.443
ENSG00000249109	    0.03482	    0.07416	    0.77649	    0.15406	    0.33254	    0.18535	    0.12124	    0.07095	    0.45199	    0.5464	    2.443
ENSG00000248943	    0.03482	    0.07416	    0.31060	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000249684	    0.76604	    0.14832	    2.01887	    2.07987	    0.83134	    1.29746	    0.90931	    1.41909	    1.29140	    0.5464	    2.443
ENSG00000204677	    0.06964	    0.07416	    0.23295	    0.07703	    0.22169	    0.12357	    0.18186	    0.35477	    0.25828	    0.5464	    2.443
ENSG00000145911	    1.35798	    0.81575	    2.48476	    1.84877	    8.53514	    1.48281	    4.06160	   13.83614	    2.51824	    0.5464	    4.885
ENSG00000145916	   14.93775	    9.64063	   26.78883	   20.79871	   18.17874	   15.01345	   12.12419	   20.29301	   23.24529	   14.2052	    7.328
ENSG00000145912	  253.41949	  130.66758	  176.57334	  173.39958	  192.42859	  175.09518	  184.83327	  182.92091	  178.79501	  173.1946	  188.090
ENSG00000197451	   79.87693	   50.57621	   24.45937	   30.65883	   21.33785	   28.54410	   25.33956	   24.69219	   27.57150	   28.4105	   41.526
ENSG00000175309	   36.38683	   34.92873	   43.94921	   47.22077	   30.64891	   32.74539	   39.22175	   56.90557	   43.90777	   36.0594	   43.969
ENSG00000050767	    0.31338	    0.29663	    0.15530	    0.15406	    0.22169	    0.06178	    0.18186	    0.07095	    0.06457	    0.5464	    2.443
ENSG00000113240	   20.12592	   26.62296	   38.43615	   28.57896	   22.39088	   15.44594	   24.97583	   39.16693	   28.34634	    3.8245	    9.771
ENSG00000169131	   13.85833	   14.53510	   14.83092	   15.32942	    9.53275	    6.85800	   11.76046	   12.34610	   13.68889	    7.1026	   12.214
ENSG00000178338	    8.25232	    7.78666	    3.49420	    3.31239	    2.43861	    2.28600	    9.39625	    9.86269	    3.22851	    3.2781	    2.443
ENSG00000198939	    0.73122	    0.59327	    0.38824	    0.38516	    0.44338	    0.24714	    0.30310	    0.92241	    0.45199	    0.5464	    2.443
ENSG00000178187	    0.41784	    0.07416	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.14191	    0.06457	    0.5464	    2.443
ENSG00000234284	    2.82041	    2.07644	    2.01887	    1.00142	    1.38557	    1.17389	    1.33366	    1.84482	    1.80797	    0.5464	    2.443
ENSG00000177932	    1.49726	    1.11238	    0.93179	    0.69329	    0.55423	    0.86497	    1.15180	    1.49005	    1.22683	    0.5464	    2.443
ENSG00000087116	    0.17410	    0.14832	    0.07765	    0.07703	    0.05542	    0.06178	    0.06062	    0.07095	    0.06457	    1.0927	    2.443
ENSG00000176783	   30.92010	   20.02284	   14.28738	   17.64038	   11.52798	   12.10962	   16.30703	   31.57479	   15.10944	   15.8443	   46.412
ENSG00000169045	   56.79132	   55.47069	   54.58710	   48.68438	   44.83719	   45.04036	   41.34349	   46.90098	   45.52202	   32.7813	   56.183
ENSG00000250999	    0.62676	    0.44495	    0.07765	    0.07703	    0.05542	    0.12357	    0.12124	    0.14191	    0.06457	    1.0927	    2.443
ENSG00000204659	    0.06964	    0.14832	    0.07765	    0.07703	    0.11085	    0.12357	    0.06062	    0.07095	    0.12914	    0.5464	    2.443
ENSG00000127022	  107.87216	   91.73427	   51.86939	   68.01947	   30.15010	   45.28750	   56.31686	   37.39306	   66.24907	   54.6355	   92.824
ENSG00000161021	    9.33174	    6.45180	    5.59071	    5.08413	    4.87722	    7.10513	    4.42533	    4.18632	    5.87589	    4.9172	    4.885
ENSG00000213316	   24.09540	    2.29892	    1.86357	    7.78026	    3.76876	   13.34529	    7.39576	    0.78050	    6.58617	   16.3907	   19.542
