orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	Ident_old	tech	predicted.id	prediction.score.max
SIU_7_1-3	SIU	114336	21768	0.999999999999934	12567	FB-COL14A1	atac	Glial	0.464156157477452
SIU_7_1-4	SIU	129857	23956	1.00000000000015	12921	FB-COL14A1	atac	SM-Visceral	0.764139152179242
SIU_7_1-5	SIU	158895	23890	1.00000000000009	12992	DC	atac	DC	1
SIU_7_1-6	SIU	135260	23309	0.999999999999995	12988	1	atac	FB-ADAMDEC1	0.474435947761917
SIU_7_1-7	SIU	123579	22344	0.999999999999946	12701	1	atac	FB-ADAMDEC1	0.792981536672313
SIU_7_2-1	SIU	161423	26361	1.00000000000002	13208	FB-COL14A1	atac	FB-COL14A1	0.467800342911805
SIU_7_2-2	SIU	109916	21286	1.00000000000014	12326	FB-COL14A1	atac	FB-COL14A1	0.570173495336069
SIU_7_2-3	SIU	131616	20553	1.00000000000004	12414	T	atac	B	0.856285873760624
SIU_7_2-4	SIU	129499	23264	0.999999999999949	12732	FB-COL14A1	atac	FB-COL14A1	0.692254700808422
SIU_7_2-5	SIU	143618	23088	1.00000000000013	12953	SM-Vascular	atac	SM-Vascular	1
SIU_7_2-6	SIU	119495	22482	1.00000000000002	12564	1	atac	FB-ADAMDEC1	0.915366383707761
SIU_7_2-7	SIU	60860	14580	1.00000000000012	10647	T	atac	T	0.99691270013054
SIU_7_2-8	SIU	165206	26951	0.99999999999981	13317	1	atac	FB-ADAMDEC1	0.637712498773332
SIU_7_3-1	SIU	142190	24092	1.00000000000004	12935	FB-COL14A1	atac	SM-Visceral	0.472274032510713
SIU_7_3-2	SIU	97388	20177	0.99999999999997	11856	FB-COL14A1	atac	FB-COL14A1	0.465182799298681
SIU_7_3-3	SIU	115038	22472	1.00000000000014	12554	FB-COL14A1	atac	FB-KCNN3	0.742958458408658
SIU_7_3-5	SIU	97218	18381	1.0000000000002	11905	SM-Vascular	atac	SM-Vascular	0.91234235471864
SIU_7_3-6	SIU	53701	15315	0.999999999999931	10378	1	atac	SM-Visceral	0.5679055269825
SIU_7_3-7	SIU	44500	11962	1.00000000000001	9584	T	atac	T	0.986736477217101
SIU_7_3-8	SIU	123039	23000	1.0000000000001	12669	FB-COL14A1	atac	SM-Visceral	0.463154871354391
SIU_7_4-1	SIU	191523	28237	0.999999999999997	13525	FB-COL14A1	atac	FB-GPC3	0.703393575481207
SIU_7_4-2	SIU	115965	20835	0.999999999999795	12564	1	atac	FB-ADAMDEC1	0.550990982466717
SIU_7_4-3	SIU	156293	25483	0.999999999999959	13183	FB-COL14A1	atac	FB-GPC3	0.534782463571186
SIU_7_4-5	SIU	154619	23785	0.999999999999878	13082	1	atac	FB-ADAMDEC1	0.348242971366153
SIU_7_4-6	SIU	130911	21835	1	12777	1	atac	FB-ADAMDEC1	0.465331828914432
SIU_7_4-7	SIU	118921	21279	0.999999999999854	12614	1	atac	SM-Visceral	0.469325791510368
SIU_7_4-8	SIU	166602	26517	0.999999999999892	13231	1	atac	FB-ADAMDEC1	0.543695002192124
SIU_7_5-2	SIU	161116	27394	0.999999999999873	13265	FB-COL14A1	atac	FB-COL14A1	0.494076412206175
SIU_7_5-3	SIU	146390	24061	0.999999999999945	13076	1	atac	FB-ADAMDEC1	0.496982040563683
SIU_7_5-4	SIU	145334	25845	1.00000000000014	13010	FB-COL14A1	atac	FB-COL14A1	0.671837748023957
SIU_7_5-5	SIU	318411	32660	1.0000000000001	13815	FB-COL14A1	atac	SM-Visceral	0.489763296249126
SIU_7_5-6	SIU	150362	25611	0.999999999999855	13099	FB-COL14A1	atac	FB-COL14A1	0.929639090147715
SIU_7_5-7	SIU	161836	26606	0.999999999999998	12957	FB-COL14A1	atac	FB-COL14A1	0.894684695352478
SIU_7_5-8	SIU	190155	28324	1.0000000000003	13480	FB-COL14A1	atac	SM-Visceral	0.977246443493257
SIU_7_6-1	SIU	126034	22410	0.999999999999856	12672	FB-COL14A1	atac	FB-COL14A1	0.501506671678102
SIU_7_6-2	SIU	128037	24140	0.99999999999996	12832	FB-COL14A1	atac	Glial	0.525971212599451
SIU_7_6-3	SIU	67349	15145	1.00000000000025	10862	Endo	atac	Endo	0.907901570308986
SIU_7_6-4	SIU	133663	24686	1.00000000000015	13055	1	atac	FB-ZEB1	0.636288414973829
SIU_7_6-5	SIU	59520	16274	0.999999999999982	11068	1	atac	FB-ADAMDEC1	0.648619735508565
SIU_7_6-6	SIU	137065	23560	0.999999999999881	13003	1	atac	FB-ADAMDEC1	0.709740589896432
SIU_7_6-7	SIU	120392	22863	0.999999999999891	12700	FB-COL14A1	atac	FB-ADAMDEC1	0.762856485681392
SIU_7_6-8	SIU	157418	24163	1.00000000000004	13048	SM-Vascular	atac	SM-Vascular	0.975317977095769
SIU_7_7-1	SIU	242138	28430	1.00000000000008	13672	1	atac	FB-ZEB1	0.716426565962971
SIU_7_7-2	SIU	93260	16652	1.00000000000003	11432	T	atac	T	0.986155045248936
SIU_7_7-3	SIU	82699	15652	0.999999999999819	10945	T	atac	T	0.969471835064374
SIU_7_7-5	SIU	138622	23215	0.999999999999869	12950	1	atac	FB-ADAMDEC1	0.904919462559726
SIU_7_7-6	SIU	73376	15362	1.00000000000004	11118	1	atac	FB-ADAMDEC1	0.501954219485235
SIU_7_7-7	SIU	87816	18042	1.00000000000015	11781	1	atac	FB-ADAMDEC1	0.560635663359008
SIU_7_7-8	SIU	81262	16198	0.999999999999902	11275	1	atac	SM-Visceral	0.532868138770699
SIU_7_8-1	SIU	103174	19676	0.999999999999979	12121	T	atac	B	0.641172629655049
SIU_7_8-2	SIU	120451	23579	0.999999999999964	12703	FB-COL14A1	atac	FB-COL14A1	0.911345556286232
SIU_7_8-3	SIU	38977	12653	0.999999999999864	9370	1	atac	CACNA1A	0.299940503096823
SIU_7_8-4	SIU	107851	21936	0.999999999999852	12300	FB-COL14A1	atac	FB-COL14A1	0.877068774198276
SIU_7_8-5	SIU	126411	22306	1.00000000000012	12634	SM-Visceral	atac	SM-Visceral	0.245770899979088
SIU_7_8-6	SIU	86135	17816	0.999999999999895	11066	FB-COL14A1	atac	FB-COL14A1	0.441809099260954
SIU_7_8-7	SIU	83966	16692	1.00000000000018	11482	8	atac	FB-KCNN3	0.96038380524472
SIU_7_8-8	SIU	143396	25127	0.999999999999897	12835	FB-COL14A1	atac	FB-COL14A1	0.845654024432505
SIU_7_9-1	SIU	106119	19341	0.999999999999937	11418	Epi	atac	FB-COL14A1	0.540537706491002
SIU_7_9-2	SIU	107096	20699	1.00000000000006	12506	1	atac	FB-ADAMDEC1	0.851451275388384
SIU_7_9-3	SIU	94443	19116	0.999999999999833	11868	FB-COL14A1	atac	FB-COL14A1	0.411043054569898
SIU_7_9-4	SIU	34822	10506	0.999999999999889	8821	T	atac	B	0.352275124495573
SIU_7_9-5	SIU	127696	22693	0.999999999999949	12747	SM-Vascular	atac	SM-Vascular	0.714885312854191
SIU_7_9-7	SIU	60373	13899	0.999999999999762	10370	8	atac	FB-KCNN3	0.970324708701577
SIU_7_9-8	SIU	112129	21064	0.999999999999948	12565	1	atac	FB-ADAMDEC1	0.769145143378796
SIU_7_10-1	SIU	152976	25429	0.999999999999969	13181	1	atac	FB-KCNN3	0.327165371391221
SIU_7_10-2	SIU	112503	22140	1.00000000000001	12345	FB-COL14A1	atac	FB-COL14A1	0.857707918696522
SIU_7_10-3	SIU	110246	22410	0.999999999999828	12503	FB-COL14A1	atac	FB-COL14A1	0.93394722712809
SIU_7_10-4	SIU	80865	18143	0.999999999999982	11474	FB-COL14A1	atac	FB-COL14A1	0.488466292410854
SIU_7_10-5	SIU	137130	22694	0.999999999999871	12958	1	atac	FB-ZEB1	0.783733411906967
SIU_7_10-6	SIU	84843	14955	1.00000000000001	10803	1	atac	FB-ADAMDEC1	0.660656233964404
SIU_7_10-7	SIU	94522	18609	0.999999999999978	12187	SM-Vascular	atac	SM-Vascular	0.936345525003731
SIU_7_10-8	SIU	155409	24379	0.999999999999843	13169	1	atac	FB-ADAMDEC1	0.676668330363968
SIU_7_11-1	SIU	91922	18832	1.00000000000009	11813	FB-COL14A1	atac	FB-COL14A1	0.698644313852153
SIU_7_11-2	SIU	112874	21419	0.99999999999992	12269	FB-COL14A1	atac	FB-COL14A1	0.883743656093572
SIU_7_11-4	SIU	90754	19952	1.0000000000002	11920	FB-COL14A1	atac	FB-COL14A1	0.877515642996455
SIU_7_11-5	SIU	110503	20502	0.999999999999996	12028	FB-COL14A1	atac	FB-COL14A1	0.731626827149182
SIU_7_11-6	SIU	119570	23167	1.00000000000002	12697	FB-COL14A1	atac	FB-COL14A1	0.814753058870195
SIU_7_11-7	SIU	54128	13729	0.999999999999876	10431	1	atac	FB-ADAMDEC1	0.689957974713551
SIU_7_11-8	SIU	118533	19931	1.00000000000027	12484	1	atac	FB-ADAMDEC1	0.768639585436951
SIU_7_12-1	SIU	152375	25029	0.999999999999975	13032	FB-COL14A1	atac	FB-COL14A1	0.739703505294922
SIU_7_12-2	SIU	86019	16474	1.00000000000006	11288	8	atac	FB-KCNN3	0.91875798223807
SIU_7_12-3	SIU	111915	18969	0.999999999999925	12251	1	atac	FB-ADAMDEC1	0.297989478237539
SIU_7_12-4	SIU	155275	23136	0.999999999999974	12683	DC	atac	DC	1
SIU_7_12-5	SIU	76336	16758	1.00000000000001	10977	FB-COL14A1	atac	FB-COL14A1	0.341678700868877
SIU_7_12-6	SIU	127521	22882	1.00000000000001	12944	1	atac	FB-ADAMDEC1	0.611674058065853
SIU_7_12-7	SIU	107675	20844	1.00000000000009	12086	FB-COL14A1	atac	FB-COL14A1	0.921282987755154
SIU_7_12-8	SIU	124181	19746	0.999999999999897	12384	1	atac	FB-VCAM1	0.634818689046154
SIU_8_1-1	SIU	131395	24133	1.0000000000003	12738	SM-Vascular	atac	SM-Vascular	0.911085439898273
SIU_8_1-2	SIU	64306	15259	1.00000000000007	10739	FB-COL14A1	atac	FB-Prol	0.434737622702013
SIU_8_1-4	SIU	148584	24051	0.999999999999895	13184	1	atac	FB-ZEB1	0.740275808886955
SIU_8_1-5	SIU	124971	21579	1.00000000000008	12553	8	atac	FB-KCNN3	0.971297110048719
SIU_8_1-6	SIU	74367	14403	1.00000000000005	10650	1	atac	SM-Vascular	0.390120027723152
SIU_8_1-7	SIU	79196	14449	1	10595	1	atac	FB-ZEB1	0.500012627651905
SIU_8_2-2	SIU	116975	22086	0.999999999999954	12296	FB-COL14A1	atac	FB-COL14A1	0.397148366979971
SIU_8_2-3	SIU	138244	23236	1.00000000000019	12849	1	atac	FB-ADAMDEC1	0.826099900539525
SIU_8_2-4	SIU	100778	21208	0.999999999999887	12066	FB-COL14A1	atac	FB-COL14A1	0.569494224149588
SIU_8_2-5	SIU	110049	21045	0.999999999999985	12151	FB-COL14A1	atac	FB-COL14A1	0.886929956281706
SIU_8_2-6	SIU	107277	20535	1.00000000000009	11960	SM-Vascular	atac	SM-Vascular	0.770216983057126
SIU_8_2-7	SIU	57875	13170	0.999999999999914	9998	Endo	atac	Endo	0.998859435678482
SIU_8_2-8	SIU	130262	24089	0.999999999999922	12599	FB-COL14A1	atac	FB-COL14A1	0.857978882826379
SIU_8_3-1	SIU	91031	16793	1.0000000000001	11295	T	atac	T	0.485202847927998
SIU_8_3-2	SIU	98563	21271	0.999999999999913	11988	FB-COL14A1	atac	FB-COL14A1	0.807451164953237
SIU_8_3-3	SIU	120840	22630	0.99999999999997	12879	1	atac	FB-ZEB1	0.734797216967807
SIU_8_3-4	SIU	81750	17247	1.0000000000002	11349	FB-COL14A1	atac	FB-COL14A1	0.3450345719555
SIU_8_3-5	SIU	93228	19552	0.999999999999989	12028	8	atac	FB-KCNN3	0.906196836514105
SIU_8_3-6	SIU	168178	24242	1.00000000000009	12955	1	atac	Glial	0.979626091965051
SIU_8_3-7	SIU	80981	17175	0.99999999999985	11438	1	atac	FB-ADAMDEC1	0.835219065177555
SIU_8_3-8	SIU	78305	17564	1.00000000000015	11676	1	atac	SM-Visceral	0.805338143231706
SIU_8_4-1	SIU	171157	27541	0.999999999999903	13313	FB-COL14A1	atac	FB-ADAMDEC1	0.559885341372102
SIU_8_4-2	SIU	105994	21002	1.00000000000002	12198	FB-COL14A1	atac	FB-COL14A1	0.717098596422896
SIU_8_4-3	SIU	149454	25152	0.999999999999915	12964	FB-COL14A1	atac	FB-COL14A1	0.651674203097935
SIU_8_4-4	SIU	132420	23634	1.00000000000009	12939	1	atac	FB-ADAMDEC1	0.559906872886814
SIU_8_4-5	SIU	124301	21676	0.999999999999864	12668	1	atac	SM-Visceral	0.457660308326976
SIU_8_4-6	SIU	134035	22669	0.999999999999935	12994	1	atac	FB-ZEB1	0.729990076707368
SIU_8_4-7	SIU	124464	22778	1.00000000000016	12724	1	atac	FB-ADAMDEC1	0.883264076141655
SIU_8_4-8	SIU	131065	24399	0.999999999999711	12746	FB-COL14A1	atac	FB-COL14A1	0.65055954831816
SIU_8_5-1	SIU	168539	27189	0.999999999999878	13399	1	atac	FB-ADAMDEC1	0.710280789035207
SIU_8_5-2	SIU	168089	28359	1.00000000000002	13334	FB-COL14A1	atac	FB-ADAMDEC1	0.658710802544709
SIU_8_5-3	SIU	116809	20578	0.999999999999892	12504	1	atac	SM-Visceral	0.659318983620503
SIU_8_5-4	SIU	142594	25796	0.999999999999977	12916	FB-COL14A1	atac	FB-COL14A1	0.807853682605919
SIU_8_5-5	SIU	106219	22352	0.99999999999986	12260	FB-COL14A1	atac	FB-COL14A1	0.883045965740372
SIU_8_5-6	SIU	80277	18029	0.999999999999932	11639	1	atac	FB-KCNN3	0.527877467138575
SIU_8_5-7	SIU	57127	16439	0.999999999999945	10775	SM-Vascular	atac	SM-Vascular	0.719499990800529
SIU_8_5-8	SIU	114152	22770	0.999999999999877	12469	FB-COL14A1	atac	FB-COL14A1	0.590666980317617
SIU_8_6-2	SIU	95383	21415	1.00000000000005	11932	FB-COL14A1	atac	FB-COL14A1	0.426576304147077
SIU_8_6-4	SIU	121922	23645	1.0000000000001	12772	FB-COL14A1	atac	FB-COL14A1	0.541524797771536
SIU_8_6-5	SIU	121745	21966	1.00000000000019	12700	1	atac	FB-ADAMDEC1	0.588625658822988
SIU_8_6-6	SIU	85131	16852	0.999999999999888	11426	T	atac	T	0.902061792905784
SIU_8_6-7	SIU	121203	23970	1.00000000000018	12646	FB-COL14A1	atac	FB-COL14A1	0.449766919344259
SIU_8_6-8	SIU	110168	21124	0.99999999999996	12550	SM-Vascular	atac	SM-Vascular	0.998462246716291
SIU_8_7-1	SIU	147498	23729	1.00000000000007	13132	1	atac	FB-ZEB1	0.841417847107334
SIU_8_7-3	SIU	64679	14154	0.999999999999878	10598	1	atac	FB-ZEB1	0.592848828204437
SIU_8_7-4	SIU	78814	17129	1.00000000000023	11054	FB-COL14A1	atac	FB-COL14A1	0.78155576949513
SIU_8_7-5	SIU	143287	24696	0.999999999999868	12995	FB-COL14A1	atac	FB-COL14A1	0.868791654340455
SIU_8_7-6	SIU	107562	19849	0.999999999999782	12327	1	atac	SM-Visceral	0.669261433323603
SIU_8_7-7	SIU	71796	17061	0.999999999999842	10942	FB-COL14A1	atac	FB-COL14A1	0.726249223141951
SIU_8_7-8	SIU	130226	24538	0.99999999999986	12705	FB-COL14A1	atac	FB-COL14A1	0.950281838882117
SIU_8_8-2	SIU	115184	21112	1	12479	1	atac	Glial	0.508156870330692
SIU_8_8-3	SIU	134014	23970	1.00000000000002	12605	FB-COL14A1	atac	FB-COL14A1	0.942826976902848
SIU_8_8-4	SIU	48329	13225	1.00000000000002	9975	1	atac	FB-ADAMDEC1	0.824652321694403
SIU_8_8-5	SIU	61875	15542	0.999999999999958	10631	FB-COL14A1	atac	FB-COL14A1	0.213216743061595
SIU_8_8-7	SIU	113712	22704	0.999999999999973	12539	FB-COL14A1	atac	FB-COL14A1	0.676380024195213
SIU_8_8-8	SIU	108626	19902	0.99999999999976	12345	1	atac	FB-ADAMDEC1	0.851504127046477
SIU_8_9-1	SIU	122269	23669	0.999999999999898	12706	FB-COL14A1	atac	FB-COL14A1	0.857580985681877
SIU_8_9-2	SIU	126111	24626	0.999999999999959	12680	FB-COL14A1	atac	FB-COL14A1	0.922209943736665
SIU_8_9-3	SIU	101822	20693	0.999999999999856	12237	FB-COL14A1	atac	FB-COL14A1	0.769183105363416
SIU_8_9-4	SIU	102672	21586	0.999999999999855	12197	FB-COL14A1	atac	FB-COL14A1	0.87623983892619
SIU_8_9-6	SIU	83868	16683	0.999999999999978	11343	8	atac	FB-KCNN3	0.968296076479234
SIU_8_9-7	SIU	112793	23084	1.00000000000024	12533	SM-Vascular	atac	SM-Vascular	0.840350236313891
SIU_8_9-8	SIU	75372	17384	0.99999999999981	11077	FB-COL14A1	atac	FB-COL14A1	0.684542123064884
SIU_8_10-1	SIU	110826	19134	1.00000000000004	12007	T	atac	B	0.851009310694358
SIU_8_10-2	SIU	114209	22911	1.00000000000003	12425	FB-COL14A1	atac	FB-COL14A1	0.811956958235549
SIU_8_10-3	SIU	95034	20368	0.999999999999906	11650	FB-COL14A1	atac	FB-COL14A1	0.797999997735733
SIU_8_10-4	SIU	64414	14864	0.999999999999886	10809	T	atac	T	1
SIU_8_10-5	SIU	120137	20897	0.99999999999976	12458	1	atac	FB-ZEB1	0.44774569160876
SIU_8_10-6	SIU	117715	19436	0.999999999999972	12297	1	atac	FB-ZEB1	0.76978769902909
SIU_8_10-7	SIU	61375	13783	0.999999999999974	10092	1	atac	SM-Vascular	0.688451892901528
SIU_8_10-8	SIU	94417	18846	1.00000000000003	11633	FB-COL14A1	atac	FB-COL14A1	0.647993292312762
SIU_8_11-1	SIU	39314	10530	1.00000000000011	8452	1	atac	FB-COL14A1	0.317978485388472
SIU_8_11-2	SIU	102737	19514	0.999999999999818	12045	1	atac	FB-ADAMDEC1	0.844926292121421
SIU_8_11-3	SIU	129695	24970	1.00000000000006	12794	FB-COL14A1	atac	FB-COL14A1	0.697330063447748
SIU_8_11-4	SIU	98983	20576	1.00000000000023	12026	SM-Visceral	atac	FB-COL14A1	0.535594057842636
SIU_8_11-5	SIU	70563	16799	0.999999999999958	11326	T	atac	T	0.781215546290947
SIU_8_11-6	SIU	133430	22308	0.999999999999814	12805	T	atac	B	0.824448731316051
SIU_8_11-7	SIU	128626	23441	0.999999999999862	12858	1	atac	FB-ADAMDEC1	0.734272389331587
SIU_8_11-8	SIU	125008	21950	1.00000000000024	12652	1	atac	FB-ADAMDEC1	0.424288870208026
SIU_8_12-1	SIU	68078	14773	0.999999999999943	10655	1	atac	Glial	0.374278499044472
SIU_8_12-2	SIU	129940	23009	0.999999999999854	12661	FB-COL14A1	atac	FB-COL14A1	0.863318924328442
SIU_8_12-3	SIU	117165	22614	0.999999999999953	12346	FB-COL14A1	atac	FB-COL14A1	0.929758142591508
SIU_8_12-4	SIU	142248	26176	0.999999999999969	12789	FB-COL14A1	atac	FB-KCNN3	0.602148862564513
SIU_8_12-5	SIU	131248	24266	0.999999999999983	12747	FB-COL14A1	atac	FB-COL14A1	0.89970097724792
SIU_8_12-7	SIU	74081	14638	1.00000000000012	10673	FB-COL14A1	atac	FB-Prol	0.430507514388159
SIU_8_12-8	SIU	127414	23520	0.999999999999874	12726	FB-COL14A1	atac	FB-COL14A1	0.497870298818234
SIU_9_1-1	SIU	145588	24661	1.00000000000019	12987	FB-COL14A1	atac	FB-COL14A1	0.81231998416463
SIU_9_1-2	SIU	123264	21898	1.00000000000007	12883	SM-Vascular	atac	SM-Vascular	0.910460628116837
SIU_9_1-3	SIU	66365	14688	0.999999999999959	10598	T	atac	T	1
SIU_9_1-4	SIU	45813	13624	1.00000000000002	10074	1	atac	FB-VCAM1	0.402526559823899
SIU_9_1-5	SIU	143669	24044	0.999999999999911	13030	FB-COL14A1	atac	FB-COL14A1	0.691908385005774
SIU_9_1-6	SIU	127918	23423	0.999999999999898	12552	FB-COL14A1	atac	FB-COL14A1	0.716989202544524
SIU_9_1-7	SIU	113793	19525	1.00000000000006	12403	1	atac	SM-Visceral	0.598829307539566
SIU_9_1-8	SIU	35627	10263	1.00000000000002	8587	Glial	atac	Glial	0.873227293350875
SIU_9_2-1	SIU	112886	21266	0.999999999999917	12225	1	atac	FB-ZEB1	0.378648466562792
SIU_9_2-2	SIU	101258	19348	0.999999999999862	12122	FB-COL14A1	atac	FB-VCAM1	0.499803141576683
SIU_9_2-3	SIU	119515	23299	0.999999999999955	12640	FB-COL14A1	atac	FB-COL14A1	0.716247583402767
SIU_9_2-4	SIU	101172	18987	0.99999999999983	12052	T	atac	T	0.958587856426746
SIU_9_2-5	SIU	174105	26608	1.0000000000002	12986	FB-COL14A1	atac	FB-COL14A1	0.612960952407175
SIU_9_2-6	SIU	98469	19971	1.00000000000012	12152	1	atac	FB-ZEB1	0.815217571971595
SIU_9_2-7	SIU	120659	22820	0.99999999999994	12549	FB-COL14A1	atac	FB-COL14A1	0.815482158819231
SIU_9_2-8	SIU	120047	21659	0.999999999999983	12641	1	atac	FB-ADAMDEC1	0.931781511481897
SIU_9_3-1	SIU	176150	25426	1.00000000000015	13148	FB-COL14A1	atac	SM-Vascular	0.514031308175169
SIU_9_3-2	SIU	101794	21099	0.999999999999938	12276	FB-COL14A1	atac	FB-COL14A1	0.440903607988274
SIU_9_3-3	SIU	98219	20330	0.999999999999971	12030	FB-COL14A1	atac	FB-COL14A1	0.722375874864297
SIU_9_3-4	SIU	107364	21621	1.00000000000002	12311	FB-COL14A1	atac	FB-COL14A1	0.580085839678583
SIU_9_3-5	SIU	78788	18512	1.00000000000009	11770	1	atac	FB-ADAMDEC1	0.500265043584154
SIU_9_3-6	SIU	121039	22542	0.999999999999928	12572	FB-COL14A1	atac	FB-COL14A1	0.79934969880592
SIU_9_3-7	SIU	97515	19325	0.999999999999741	12176	1	atac	FB-ADAMDEC1	0.878792689203548
SIU_9_3-8	SIU	139289	22130	1.00000000000009	12814	Endo	atac	Endo	0.999999999999999
SIU_9_4-1	SIU	156345	26184	1.00000000000004	13195	FB-COL14A1	atac	FB-COL14A1	0.554357571334959
SIU_9_4-2	SIU	56603	13601	1.00000000000006	10261	T	atac	T	0.322214126164209
SIU_9_4-3	SIU	88160	18708	1.00000000000019	11646	FB-COL14A1	atac	SM-Visceral	0.497889458131273
SIU_9_4-4	SIU	140649	23481	0.99999999999997	13115	Glial	atac	Glial	0.866111455903904
SIU_9_4-5	SIU	146660	24263	0.999999999999915	12836	1	atac	FB-ADAMDEC1	0.813336359388963
SIU_9_4-6	SIU	101954	20525	1.00000000000021	12062	FB-COL14A1	atac	FB-COL14A1	0.574331674034955
SIU_9_4-7	SIU	111669	21369	0.999999999999966	12547	8	atac	FB-KCNN3	0.929673617134418
SIU_9_4-8	SIU	114199	19713	0.999999999999792	12426	1	atac	FB-ADAMDEC1	0.390132979077165
SIU_9_5-1	SIU	194954	29351	1.00000000000013	13573	FB-COL14A1	atac	FB-COL14A1	0.773278720768846
SIU_9_5-2	SIU	98646	18701	1.00000000000009	12004	1	atac	FB-COL14A1	0.424110972415042
SIU_9_5-3	SIU	129046	22077	0.999999999999785	12738	8	atac	FB-KCNN3	0.920680930514511
SIU_9_5-4	SIU	150413	24961	1.00000000000014	13264	1	atac	FB-ADAMDEC1	0.775906773667933
SIU_9_5-5	SIU	91595	18397	1.00000000000001	11822	8	atac	FB-COL14A1	0.3406127311953
SIU_9_5-6	SIU	159049	25086	0.999999999999973	13000	FB-COL14A1	atac	FB-COL14A1	0.774280311353368
SIU_9_5-7	SIU	144373	22455	1.00000000000027	12808	8	atac	FB-KCNN3	0.943037092203941
SIU_9_5-8	SIU	148693	24635	0.999999999999841	13073	1	atac	FB-ADAMDEC1	0.831320793521827
SIU_9_6-1	SIU	97335	19369	0.999999999999793	11991	FB-COL14A1	atac	FB-COL14A1	0.711688043702912
SIU_9_6-2	SIU	129170	23539	0.999999999999985	12770	FB-COL14A1	atac	FB-VCAM1	0.308614699460485
SIU_9_6-3	SIU	136730	25101	1.00000000000025	13048	FB-COL14A1	atac	FB-COL14A1	0.457054681873779
SIU_9_6-4	SIU	130471	24145	1.00000000000013	12952	1	atac	FB-ADAMDEC1	0.762051301212567
SIU_9_6-5	SIU	131997	23730	0.999999999999934	12811	FB-COL14A1	atac	FB-COL14A1	0.937098250718159
SIU_9_6-6	SIU	118895	22117	0.999999999999924	12677	1	atac	FB-COL14A1	0.641205748611398
SIU_9_6-7	SIU	107401	20690	0.999999999999936	12305	FB-COL14A1	atac	SM-Visceral	0.903751044947347
SIU_9_6-8	SIU	69534	15246	1.00000000000017	10845	1	atac	FB-COL14A1	0.615792895018789
SIU_9_7-1	SIU	122555	23139	0.999999999999865	12698	FB-COL14A1	atac	FB-COL14A1	0.554573021580877
SIU_9_7-2	SIU	58113	13383	0.999999999999959	10202	T	atac	T	0.994125207138698
SIU_9_7-3	SIU	45961	10559	0.999999999999923	8883	Endo	atac	Endo	0.78706762586041
SIU_9_7-4	SIU	85427	16409	0.999999999999927	11471	1	atac	FB-ZEB1	0.362904377724887
SIU_9_7-5	SIU	140791	24011	1.00000000000005	12920	FB-COL14A1	atac	FB-COL14A1	0.622632839872033
SIU_9_7-6	SIU	64991	14216	0.999999999999965	10623	T	atac	T	0.955765892244834
SIU_9_7-7	SIU	71987	14946	0.999999999999978	10813	T	atac	T	0.995119880877561
SIU_9_7-8	SIU	107900	17753	1.00000000000022	11909	T	atac	T	0.717765746926014
SIU_9_8-1	SIU	139173	23229	1.00000000000018	12893	SM-Vascular	atac	SM-Vascular	0.98458708426803
SIU_9_8-3	SIU	122370	23635	0.999999999999823	12702	FB-COL14A1	atac	FB-COL14A1	0.757595020341047
SIU_9_8-4	SIU	134430	23745	0.999999999999941	12649	FB-COL14A1	atac	FB-COL14A1	0.873919057766778
SIU_9_8-5	SIU	162179	24658	1.00000000000009	12977	FB-COL14A1	atac	FB-COL14A1	0.928089126239196
SIU_9_8-6	SIU	133318	24804	1.00000000000002	12883	FB-COL14A1	atac	SM-Visceral	0.84324777689617
SIU_9_8-7	SIU	68225	14217	1.00000000000011	10461	T	atac	T	0.988673901563932
SIU_9_8-8	SIU	176524	22545	0.999999999999943	12454	FB-COL14A1	atac	FB-COL14A1	0.644861094348255
SIU_9_9-1	SIU	115036	21077	0.999999999999849	12673	Glial	atac	Glial	1
SIU_9_9-2	SIU	84087	17840	0.99999999999993	11709	1	atac	SM-Visceral	0.933661106561236
SIU_9_9-3	SIU	90993	16107	1.00000000000011	11345	Endo	atac	Endo	0.995295837820924
SIU_9_9-4	SIU	84239	16779	1.00000000000003	11366	T	atac	T	0.996452211154912
SIU_9_9-5	SIU	103654	18083	1.00000000000003	11979	T	atac	T	0.975754015747304
SIU_9_9-6	SIU	128025	23294	0.99999999999976	12765	FB-COL14A1	atac	FB-COL14A1	0.548752119667737
SIU_9_9-7	SIU	88352	15343	0.999999999999863	11035	SM-Visceral	atac	SM-Visceral	0.733611438931631
SIU_9_9-8	SIU	77659	17781	1.00000000000023	11440	1	atac	FB-ADAMDEC1	0.739818710496325
SIU_9_10-1	SIU	135062	21794	0.999999999999723	12927	Glial	atac	Glial	1
SIU_9_10-2	SIU	108917	20948	0.999999999999949	12351	SM-Visceral	atac	SM-Visceral	0.994033573479732
SIU_9_10-3	SIU	112626	22092	1.00000000000002	12590	1	atac	FB-ADAMDEC1	0.766338395464746
SIU_9_10-4	SIU	127569	22903	1.00000000000016	12940	1	atac	FB-ADAMDEC1	0.67609727779306
SIU_9_10-6	SIU	81879	16994	1.00000000000004	11533	1	atac	SM-Visceral	0.62139728200665
SIU_9_10-7	SIU	94457	18387	0.999999999999836	11665	FB-COL14A1	atac	FB-Prol	0.519905148272425
