plate	seqID	species	individual	sex	week_age	sample_type	tissue	samplingPos	identity	barcodeToSample	sequence_depth_G	sampling_time	sampling_stuff	sequencing_time	library_stuff	flow_cytometer	FACS_stuff	amplification	marker	ERCC_ratio	sort_order	remark
PR10_XXL_XCX-2	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
PR10_XXL_XCX-3	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
PR10_XXL_XCX-4	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
PR10_XXL_XCX-5	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
PR10_XXL_XCX-6	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
PR10_XXL_XCX-7	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
PR10_XXL_XCX-8	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
PR10_XXL_XCX-9	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
PR10_XXL_XCX-10	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
PR10_XXL_XCX-11	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
PR10_XXL_XCX-12	09_D1_45	human	F1	M	19	Fetal	small intestine	lower segment of small intestine	mixture	12x8	0.3	20181204	yongj/yangm	20190114	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_5	NA
PR10_XXL_WDOU-1	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric antrum	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_10	NA
PR10_XXL_WDOU-2	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric antrum	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_10	NA
PR10_XXL_WDOU-3	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric antrum	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_10	NA
PR10_XXL_WDOU-4	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric antrum	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_10	NA
PR10_XXL_WDOU-5	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric antrum	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_10	NA
PR10_XXL_WDOU-6	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric antrum	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_10	NA
PR10_XXL_WDOU-7	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric antrum	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_10	NA
PR10_XXL_WDOU-8	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric antrum	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_10	NA
PR10_XXL_WDOU-9	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric antrum	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_10	NA
PR10_XXL_WDOU-10	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric antrum	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_10	NA
PR10_XXL_WT-1	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric body	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_9	NA
PR10_XXL_WT-2	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric body	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_9	NA
PR10_XXL_WT-3	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric body	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_9	NA
PR10_XXL_WT-4	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric body	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_9	NA
PR10_XXL_WT-5	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric body	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_9	NA
PR10_XXL_WT-6	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric body	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_9	NA
PR10_XXL_WT-7	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric body	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_9	NA
PR10_XXL_WT-8	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric body	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_9	NA
PR10_XXL_WT-9	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric body	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_9	NA
PR10_XXL_WT-10	10_DPU1_36	human	F1	M	19	Fetal	stomach	gastric body	mixture	12x8	0.3	20181204	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_9	NA
PR10_XXL_RC_ckN-1	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckN-2	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckN-3	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckN-4	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckN-5	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckN-6	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckN-7	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckN-8	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckN-9	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckN-10	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckN-11	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckN-12	10_DPU1_36	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	c-kit-	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_PG_sl-1	10_DPU1_36	human	F2	F	20	Fetal	bladder	bladder	mixture	12x8	0.06	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181224_6	Sacrococcygeal teratoma.
PR10_XXL_SPZ_sl-1	10_DPU1_36	human	F2	F	20	Fetal	kidney	renal cortex	mixture	12x8	0.06	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181224_1	Sacrococcygeal teratoma.
PR10_XXL_SSZ_sl-1	10_DPU1_36	human	F2	F	20	Fetal	kidney	renal medulla	mixture	12x8	0.06	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181224_5	Sacrococcygeal teratoma.
PR10_XXL_SY_sl-1	10_DPU1_36	human	F2	F	20	Fetal	kidney	renal pelvis	mixture	12x8	0.06	20181224	yongj/yangm	20190201	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181224_1	Sacrococcygeal teratoma.
PR10_XXL_GM_mx96-1	11_newBCD_01	human	NA	F	NA	Cell line	GM12878	GM12878	GM12878	mx96	0.3	20190308	NA	20190311	mawp	BD_Aria_II	NA	machine	NA	1	NA	NA
PR10_XXL_HJC-1	12_DPU2_42	human	F1	M	19	Fetal	large intestine	transverse colon	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_1	NA
PR10_XXL_HJC-2	12_DPU2_42	human	F1	M	19	Fetal	large intestine	transverse colon	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_1	NA
PR10_XXL_HJC-3	12_DPU2_42	human	F1	M	19	Fetal	large intestine	transverse colon	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_1	NA
PR10_XXL_HJC-4	12_DPU2_42	human	F1	M	19	Fetal	large intestine	transverse colon	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_1	NA
PR10_XXL_HJC-5	12_DPU2_42	human	F1	M	19	Fetal	large intestine	transverse colon	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_1	NA
PR10_XXL_HJC-6	12_DPU2_42	human	F1	M	19	Fetal	large intestine	transverse colon	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_1	NA
PR10_XXL_HJC-7	12_DPU2_42	human	F1	M	19	Fetal	large intestine	transverse colon	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_1	NA
PR10_XXL_HJC-8	12_DPU2_42	human	F1	M	19	Fetal	large intestine	transverse colon	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_1	NA
PR10_XXL_HJC-9	12_DPU2_42	human	F1	M	19	Fetal	large intestine	transverse colon	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_1	NA
PR10_XXL_HJC-10	12_DPU2_42	human	F1	M	19	Fetal	large intestine	transverse colon	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_1	NA
PR10_XXL_SEZC-1	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_SEZC-2	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_SEZC-3	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_SEZC-4	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_SEZC-5	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_SEZC-6	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_SEZC-7	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_SEZC-8	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_SEZC-9	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_SEZC-10	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_SEZC-11	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_SEZC-12	12_DPU2_42	human	F1	M	19	Fetal	small intestine	duodenum	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_7	NA
PR10_XXL_XCZ-1	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_XCZ-2	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_XCZ-3	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_XCZ-4	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_XCZ-5	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_XCZ-6	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_XCZ-7	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_XCZ-8	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_XCZ-9	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_XCZ-10	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_XCZ-11	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_XCZ-12	12_DPU2_42	human	F1	M	19	Fetal	small intestine	middle segment of small intestine	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	NA	0.5	20181204_6	NA
PR10_XXL_RC_ckP-1	12_DPU2_42	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	c-kit+	0.5	20181224_3	Sacrococcygeal teratoma.
PR10_XXL_RC_ckP-2	12_DPU2_42	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	c-kit+	0.5	20181224_4	Sacrococcygeal teratoma.
PR10_XXL_RC_ckP-3	12_DPU2_42	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	c-kit+	0.5	20181224_5	Sacrococcygeal teratoma.
PR10_XXL_RC_ckP-4	12_DPU2_42	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	c-kit+	0.5	20181224_6	Sacrococcygeal teratoma.
PR10_XXL_RC_ckP-5	12_DPU2_42	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	c-kit+	0.5	20181224_7	Sacrococcygeal teratoma.
PR10_XXL_RC_ckP-6	12_DPU2_42	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	c-kit+	0.5	20181224_8	Sacrococcygeal teratoma.
PR10_XXL_RC_kxP-1	12_DPU2_42	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	c-kit+	0.5	NA	Sacrococcygeal teratoma. Sorted by mouth pipette.
PR10_XXL_RC_kxP-2	12_DPU2_42	human	F2	F	20	Fetal	ovary	ovary	mixture	12x8	0.3	20190308	yongj/yangm	20190311	mawp	BD_Aria_II	zhouf	machine	c-kit+	0.5	NA	Sacrococcygeal teratoma. Sorted by mouth pipette.
