tissue	samplingPos	class	predicted.ident	prediction.score.max	Reads	Aligned_ratio	Num_frags	Mito_ratio	FRiP	Peaks_detected	tSNE_1	tSNE_2
YXF_4_10-7	Heart	Right Atrium	Endothelium	Endo	0.787653766777546	382250	0.9732	46367	0.0201550138806425	0.833070934069489	21155	-17.4787524907634	26.2644871863649
YXF_4_10-8	Heart	Right Atrium	Smooth muscle	SM-ACTG2	0.353536779535984	188499	0.9502	38646	0.0265899931190406	0.717538684469285	17447	-16.7330729489515	21.5509943627439
YXF_4_11-1	Heart	Right Atrium	Glial	Glial	0.453285353927782	977251	0.9775	72076	0.0318298877250842	0.360466729563239	18575	-12.1084635201867	4.26902825706813
YXF_4_11-2	Heart	Right Atrium	Fibroblast	Fibro-ITM2A	0.582072823181761	359520	0.9763	45698	0.0203938534984335	0.78005601995711	20787	-17.6737753404083	7.98713206641927
YXF_4_11-3	Heart	Right Atrium	Glial	Glial	0.56128448281647	614882	0.9764	68442	0.0374572136211423	0.664431197218082	25641	-12.9794933413963	-1.33978075291023
YXF_4_11-4	Heart	Right Atrium	Glial	Glial	0.59096059851788	474808	0.9687	49515	0.0200169157034113	0.77606785822478	21610	-34.2589096194651	-36.1027267854493
YXF_4_11-5	Heart	Right Atrium	Fibroblast	Fibro-ADAMTS19	0.329657488657028	505040	0.9777	51455	0.0160978750804894	0.815139442231076	24347	-16.7809106413184	8.83050931791347
YXF_4_11-6	Heart	Right Atrium	Fibroblast	Fibro-ITM2A	0.335739022187248	198357	0.9385	47852	0.0121215301464029	0.588000501546435	19554	-11.6441748083022	3.45550466899733
YXF_4_11-7	Heart	Right Atrium	Smooth muscle	SM-NOTCH3	0.518398419610324	212554	0.9711	31196	0.0277378492498428	0.759199897422747	16110	-4.51131257583258	14.3984358823505
YXF_4_11-8	Heart	Right Atrium	Fibroblast	Fibro-ADAMTS19	0.470087791313942	279546	0.971	58663	0.0107769698093176	0.630465540459915	23434	-11.0100553722963	3.68593409091701
YXF_4_12-1	Heart	Right Atrium	Endothelium	Endo	0.934945620670224	773041	0.9794	68322	0.0246453189394216	0.797371271332806	26426	-17.2846326177994	24.1314317507273
YXF_4_12-2	Heart	Right Atrium	Glial	Glial	0.463919029857622	500070	0.9741	52272	0.013746316727198	0.450776706458525	16672	-12.4710541676077	2.21624674092129
YXF_4_12-3	Heart	Right Atrium	Fibroblast	Fibro-ITM2A	0.606934285497059	140287	0.9547	39724	0.014097451785529	0.654616856308529	17986	-11.9162335593235	3.71514089989528
YXF_4_12-4	Heart	Right Atrium	Fibroblast	Fibro-FMOD	0.305404382934074	495161	0.9773	51886	0.0251280660949473	0.420228963496897	15586	-13.8513988637814	0.942515611710772
YXF_4_12-5	Heart	Right Atrium	Fibroblast	Fibro-ADAMTS19	0.296580212845624	499768	0.9788	52411	0.0227643825178251	0.775867661368797	22781	-13.0235491474432	7.62671266729161
YXF_4_12-6	Heart	Right Atrium	Endothelium	Endo	0.949082897162784	1187700	0.9786	108026	0.0124787374453879	0.790318997278433	34762	-8.19013196418982	22.4568853754422
YXF_4_12-7	Heart	Right Atrium	Fibroblast	Fibro-ITM2A	0.506582094235619	539114	0.9792	60324	0.0231630968572526	0.762797559843512	23910	-14.7818072589214	9.05260563227623
YXF_4_12-8	Heart	Right Atrium	Fibroblast	Fibro-ITM2A	0.281250626691757	369456	0.968	53902	0.0401616299827894	0.605190902007347	20964	-10.005868224208	4.01635471107576
YXS_3_1-1	Heart	Right Ventricle	Erythrocyte	Erythrocyte	0.45096913884409	230343	0.9299	41033	0.0250374702081132	0.730460848585285	20409	27.7516248520418	16.0922680922079
YXS_3_1-2	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.894877895530155	797077	0.9826	96457	0.00927183065894718	0.74935981836466	33622	17.2870926006357	20.6412913557639
YXS_3_1-3	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.442846780640044	252797	0.9731	32574	0.0812302700033508	0.741112543746546	16594	24.9222215818143	19.5593186974909
YXS_3_1-4	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.784629996908138	803944	0.984	66099	0.0444138292986945	0.728210714231683	26990	10.2222057288108	14.7693527339338
YXS_3_1-5	Heart	Right Ventricle	Endothelium	Endo	0.85598622278205	1136493	0.9857	84463	0.017102663701696	0.833714170701964	28765	-19.1108905129468	28.721278289297
YXS_3_1-6	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.495099272886343	855810	0.9799	83412	0.0201597693152384	0.737507792643744	29920	17.6892260471564	16.3025678537353
YXS_3_1-7	Heart	Right Ventricle	B	B	0.347021616293543	494030	0.9823	45143	0.0338477833257679	0.799415191724077	19871	18.0019643212794	20.5903464978432
YXS_3_1-8	Heart	Right Ventricle	T	T	0.35459242903202	373567	0.9818	38327	0.0238240684178375	0.788295457510371	19242	11.1868725816159	11.4924587203516
YXS_3_2-1	Heart	Right Ventricle	Endothelium	Endo	0.38111520246918	825664	0.9784	70037	0.0180017903539224	0.724788326170453	25479	18.0858371468255	20.6022921909113
YXS_3_2-2	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.434440697814999	565392	0.9799	65855	0.0302274682317584	0.728205906916711	27593	11.4109801059915	11.1571562316759
YXS_3_2-3	Heart	Right Ventricle	B	B	0.468265274444221	160732	0.9679	25815	0.0270304312777106	0.66244431532055	12878	23.5256069638876	12.3902507142575
YXS_3_2-4	Heart	Right Ventricle	T	T	0.349993589012257	186241	0.9553	60088	0.01987914148781	0.572060977233391	23190	27.32233456002	15.945679270165
YXS_3_2-5	Heart	Right Ventricle	Erythrocyte	Erythrocyte	0.471757261017369	353941	0.9747	37426	0.0171995337015308	0.798028108801368	16316	30.5130516968796	7.30636706025754
YXS_3_2-6	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.84362346176535	248201	0.955	47468	0.0288509881270062	0.62627454284992	20490	26.3047839807331	16.4744340500107
YXS_3_2-7	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.430982399671358	391113	0.9678	53310	0.0275584492453389	0.607090602138436	20536	18.0800993433038	20.5133495315856
YXS_3_2-8	Heart	Right Ventricle	Endothelium	Endo	0.67468444287082	540457	0.9805	48343	0.0139758002921116	0.78331919822932	20330	18.1300354662194	20.3135705825336
YXS_3_3-1	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.463797651349693	164223	0.9172	26405	0.0330283203360776	0.697633024048476	13622	19.0570367224676	14.8519261086073
YXS_3_3-2	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.622190056932721	276287	0.9814	46997	0.0368396323378263	0.710853884290487	20795	31.3270790725298	30.4383559015715
YXS_3_3-3	Heart	Right Ventricle	Endothelium	Endo	0.829364713156223	715688	0.9837	62754	0.0139684813753582	0.820601077222169	25848	18.6209284966887	20.9759562524194
YXS_3_3-4	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.582723865286323	131535	0.9691	28607	0.0366569572036747	0.73296745551788	15509	25.1386858110103	22.353275147023
YXS_3_3-5	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.502342826900767	165160	0.9705	31063	0.0135265700483092	0.760132633679941	16417	18.7180634012651	17.6129081375915
YXS_3_3-6	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.511224543028813	333068	0.9694	53787	0.0184446924998671	0.710896685072601	23244	22.6945610146097	19.6661531080832
YXS_3_3-7	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.976506072738325	114334	0.9614	28724	0.0414519087970647	0.716543656872302	15353	30.1679513077583	25.3267556149272
YXS_3_3-8	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.767008337515512	187842	0.9698	34690	0.0302385465469761	0.706024791006054	16325	20.3554310326992	7.78826123815824
YXS_3_4-1	Heart	Right Ventricle	Erythrocyte	Erythrocyte	0.434414620719578	507715	0.9734	41086	0.0206144828267527	0.776906975612131	19718	23.3035928267056	19.2629642404465
YXS_3_4-2	Heart	Right Ventricle	B	B	0.579934410502499	384950	0.9722	57714	0.0444686986822606	0.712270852826004	25759	31.034401692692	20.3210981371379
YXS_3_4-3	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.343814929825212	185483	0.9602	30923	0.0176960585127997	0.723700805225884	16251	27.0507635696006	16.2912663274893
YXS_3_4-4	Heart	Right Ventricle	Erythrocyte	Erythrocyte	0.707381154169143	503538	0.9786	34195	0.0989865969271004	0.59704635180582	15159	22.6225557755731	12.7097835470115
YXS_3_4-5	Heart	Right Ventricle	Fibroblast	Fibro-ADAMTS19	0.467998523804538	1553035	0.9858	79519	0.0114305297959842	0.779650146505867	31198	10.1277493799093	11.0896426784472
YXS_3_4-6	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.893171260762555	1052933	0.9742	69386	0.0111529391402177	0.757443864756579	25698	18.3702972460373	20.8247053764962
YXS_3_4-8	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.703140874648373	1323126	0.9833	81215	0.0103622322495497	0.781727513390384	30346	18.2369779348298	20.6802308868434
YXS_3_5-1	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.556385361292966	146071	0.9609	28525	0.0394966280804219	0.709798422436459	14477	18.8822349907795	14.8538706218897
YXS_3_5-2	Heart	Right Ventricle	B	B	0.435750519245569	459044	0.9822	62728	0.0212949575782029	0.796837138120138	25625	22.7626318367349	19.3895097324268
YXS_3_5-3	Heart	Right Ventricle	Endothelium	Endo	0.591272463492418	346526	0.98	39396	0.0187255127909657	0.809853792263174	18235	-20.0657540477923	28.6175824352611
YXS_3_5-4	Heart	Right Ventricle	Fibroblast	Fibro-ITM2A	0.490315751884953	1069878	0.9846	91708	0.00978507300262991	0.782407205478257	34898	9.74622890968369	11.0958909967018
YXS_3_5-5	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.327113426123468	579819	0.9835	61914	0.0115508074410996	0.806134315340634	25328	10.491760253847	11.0836603717767
YXS_3_5-7	Heart	Right Ventricle	Fibroblast	Fibro-ADAMTS19	0.518401829939153	784843	0.9844	80716	0.0112680349522455	0.7482903017989	30480	10.2469815295659	11.0619867225795
YXS_3_5-8	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.556674790192883	345641	0.9726	58020	0.016889328335901	0.768269562219924	27034	26.6580816665419	19.7070259392204
YXS_3_6-1	Heart	Right Ventricle	Endothelium	Endo	0.967806111977609	496339	0.9805	50113	0.0205112302308067	0.733781653463173	21277	18.1138900087677	20.5826392128235
YXS_3_6-2	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.4859631619856	306856	0.9809	42998	0.0295943339654139	0.737615703055956	19741	17.9538417126369	16.6317721914494
YXS_3_6-3	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.33022912546096	346935	0.9825	32344	0.0241043733573272	0.807754142963146	16099	11.7358490868382	10.7971274362839
YXS_3_6-4	Heart	Right Ventricle	Fibroblast	Fibro-ITM2A	0.38673178452951	369167	0.9814	55436	0.0178150209166851	0.755537917598672	25164	10.9022617725885	11.4826159291238
YXS_3_6-5	Heart	Right Ventricle	B	B	0.503299684136519	689150	0.9854	65795	0.0125027311791411	0.763781442358842	24541	42.2826367421124	-1.52317225241252
YXS_3_6-6	Heart	Right Ventricle	T	T	0.595299820896603	388970	0.9697	40732	0.087935393258427	0.642467838554454	17859	24.5811483190716	13.1883842993514
YXS_3_6-7	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.623580739082216	213853	0.9765	28221	0.0983606557377049	0.611601289819638	13072	23.3762236644975	12.4137701910546
YXS_3_6-8	Heart	Right Ventricle	T	T	0.813405250962496	236251	0.974	40707	0.040128935812389	0.572063772815486	16652	24.5052261416066	13.2383419820263
YXS_3_7-1	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.400613405539083	123423	0.9511	34563	0.0202717132390387	0.73260422995689	17877	26.9847263436074	19.2487867208788
YXS_3_7-2	Heart	Right Ventricle	B	B	0.41455774164938	308051	0.9741	56747	0.0718596221218687	0.726011947768164	25419	27.6508250641245	18.4577514392206
YXS_3_7-3	Heart	Right Ventricle	T	T	0.441662831281196	301605	0.9778	37366	0.0316725795670729	0.666086816892362	17677	27.3043068287802	19.3334209099758
YXS_3_7-5	Heart	Right Ventricle	Fibroblast	Fibro-ITM2A	0.426241171871791	594476	0.9831	69182	0.0108672536259623	0.763666849758608	28419	10.3665737130757	11.1515737008896
YXS_3_7-6	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.837086570040763	377154	0.9697	93377	0.0116251777602894	0.539394069203337	30309	27.1221215993271	16.0731323534253
YXS_3_7-7	Heart	Right Ventricle	Endothelium	Endo	0.931522354646894	1293535	0.9844	92021	0.00894410638878178	0.792014866171852	28464	-18.8401915941357	28.7824373640471
YXS_3_7-8	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.89169070116608	269160	0.9732	32402	0.0770619645806923	0.68717980371582	15733	23.6414568439745	12.7840326171247
YXS_3_8-1	Heart	Right Ventricle	T	T	0.393851608316712	221668	0.9629	30370	0.0271197256121879	0.771353309186697	15332	18.0552513705999	16.0483227726973
YXS_3_8-2	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.490324629129882	381682	0.9802	57342	0.0163154078267175	0.758379547277737	23956	18.2070322310203	20.6188581360142
YXS_3_8-3	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.34925711354991	160389	0.9703	25263	0.0639786343976744	0.68515219886791	12976	18.799099816052	14.8718937772785
YXS_3_8-4	Heart	Right Ventricle	Fibroblast	Fibro-ITM2A	0.346207341376172	553471	0.9843	59705	0.0151789625735564	0.784456913156352	25638	26.5247943721335	19.8883838188904
YXS_3_8-5	Heart	Right Ventricle	B	B	0.491372692637241	530755	0.982	61853	0.0110760548359144	0.832651609461142	27042	28.3276359106248	18.5042906717594
YXS_3_8-6	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.678349308775678	423541	0.9726	73196	0.0126276762689622	0.761025192633477	30044	22.7848400341108	19.2116318366429
YXS_3_8-8	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.387277348967559	142899	0.9589	34453	0.0338214843682936	0.702551301773431	17875	27.349653057317	16.0323891279116
YXS_3_9-1	Heart	Right Ventricle	T	T	0.515996804796433	234304	0.965	34152	0.0528550241008528	0.632232372921059	15637	28.4793952253824	19.732002138465
YXS_3_9-3	Heart	Right Ventricle	Endothelium	Endo	0.972420441630983	716684	0.9843	66225	0.016153379848094	0.782831257078143	26049	18.0920940930313	20.7139539804656
YXS_3_9-4	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.405834674256344	226525	0.9715	44066	0.0373143232118356	0.604048472745427	18376	24.6534943302774	13.197110886278
YXS_3_9-5	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.562481908803224	171345	0.9731	29863	0.0675774675774676	0.712553996584402	15937	25.6620719766061	18.6604190345577
YXS_3_9-7	Heart	Right Ventricle	Endothelium	Endo	0.529949103527621	452029	0.9834	50253	0.0141453422786914	0.782102561041132	22282	18.1339389236042	20.5654258127676
YXS_3_9-8	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.387407961047436	113144	0.9694	27080	0.0335800185013876	0.688921713441654	14112	26.2632134646821	16.6371889848383
YXS_3_10-1	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.873304349521802	146629	0.9351	37818	0.0215108680957174	0.711645248294463	19523	28.3333328910996	17.9426852264111
YXS_3_10-2	Heart	Right Ventricle	Endothelium	Endo	0.441215016184271	574386	0.9804	69887	0.0111320487544523	0.798102651423011	26712	18.0204595022682	20.693737289664
YXS_3_10-4	Heart	Right Ventricle	B	B	0.369218339848634	179939	0.9715	30219	0.0710367697666173	0.689996359906019	14994	30.9261236910974	24.3208230636827
YXS_3_10-5	Heart	Right Ventricle	T	T	0.297425192666499	181031	0.9651	34117	0.0524834644822456	0.732889761702377	17853	30.1065904527667	24.8542119142341
YXS_3_10-6	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.443994210725686	158295	0.9444	31947	0.0326209661722916	0.68638682818418	16186	26.7822105636043	19.2780791755749
YXS_3_10-7	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.583091982334086	224874	0.9715	39413	0.0341000401767778	0.793469159921853	20661	28.2782460709784	18.4370847136147
YXS_3_10-8	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.497097944057847	169682	0.9692	21378	0.0772807613868117	0.735709608008233	11898	19.2672793624115	15.1202231010332
YXS_3_11-1	Heart	Right Ventricle	B	B	0.454462610262537	438064	0.9761	47006	0.022451967300193	0.805960941156448	23007	26.7688012204002	19.6739923036543
YXS_3_11-2	Heart	Right Ventricle	B	B	0.649875215122521	162738	0.9466	47277	0.0292127999189237	0.684074708632104	21601	25.0958157382872	20.3527070662125
YXS_3_11-3	Heart	Right Ventricle	Smooth muscle	SM-NOTCH3	0.676097749759852	773387	0.9831	70590	0.0203338923783529	0.770689899419181	28511	10.692633647271	14.8425216935273
YXS_3_11-4	Heart	Right Ventricle	T	T	0.407920335263213	756560	0.984	78065	0.0115907159701735	0.797809517709601	32324	26.5626123944334	19.8873438059402
YXS_3_11-5	Heart	Right Ventricle	Fibroblast	Fibro-ADAMTS19	0.463280274713219	975577	0.9852	83904	0.0126418813294366	0.774468440122044	32309	10.2160841187936	11.056308710454
YXS_3_11-6	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.685337197898248	455959	0.9758	52824	0.0185056003790621	0.752461002574587	22077	18.1497984649689	20.6323405405708
YXS_3_11-7	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.42158837294932	155019	0.9696	26667	0.0639651229273871	0.72812839839502	14760	24.9330476686126	20.2891921184139
YXS_3_11-8	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.715074526805808	328683	0.9776	37728	0.0293520277795977	0.702740670059372	18862	27.0068567750668	19.2109428168794
YXS_3_12-1	Heart	Right Ventricle	T	T	0.384397581728494	216421	0.9709	49524	0.0172539545060856	0.765891285033519	23721	28.0407372668184	15.7398100184663
YXS_3_12-3	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.717486560594322	115690	0.9636	37027	0.0180534011023466	0.702352337483458	18697	27.6555646601616	18.7348545825935
YXS_3_12-4	Heart	Right Ventricle	B	B	0.474899029104327	416223	0.9795	51796	0.0465021519341941	0.746293150050197	22743	18.689526124664	19.1223141074707
YXS_3_12-5	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.987681380039196	554327	0.9802	81392	0.0155625875395549	0.652705425594653	28579	23.8099343991947	18.7714246269092
YXS_3_12-6	Heart	Right Ventricle	B	B	0.395144464960278	430048	0.971	59738	0.010962254963025	0.745722990391376	24193	17.4194621140147	16.5301960771641
YXS_3_12-7	Heart	Right Ventricle	DC/Macrophage	DC/Macro	0.764280132040542	274177	0.9797	38064	0.0268919562113279	0.733685372005044	17647	17.8975467302751	16.3352128190304
YXS_3_12-8	Heart	Right Ventricle	B	B	0.373475982565501	130863	0.9585	47414	0.0166735733612851	0.735014974480111	22498	32.2324199465809	14.0165771306165
ZXS_4_1-5	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.435823453148437	288876	0.9585	68118	0.0224940950693829	0.541193223523885	24839	-18.9715004816459	5.14743697751546
ZXS_4_1-7	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.352918843154244	286233	0.9548	49128	0.0692328486744289	0.283992835043153	10654	-21.0631799112491	-12.4225620668247
ZXS_4_1-8	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.336329403799687	141372	0.9514	19905	0.0610499552165496	0.471841245918111	7617	-18.5985519042193	-12.5706615231862
ZXS_4_2-1	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.680175009877743	996092	0.9732	84617	0.00582883253812557	0.796943876525994	32210	-10.7631423562379	9.44155119349718
ZXS_4_2-2	Heart	Left Ventricle	B	B	0.656095418632415	286194	0.9708	36175	0.0351364632947758	0.706786454733932	15672	38.2154012821986	-2.95038624027779
ZXS_4_2-4	Heart	Left Ventricle	Endothelium	Endo	0.530851649956156	519479	0.9734	46284	0.0451606246130563	0.461671419929133	13114	-24.1824916126249	35.0816423544109
ZXS_4_2-5	Heart	Left Ventricle	Smooth muscle	SM-NOTCH3	0.470079908479721	577218	0.9689	77708	0.00927737149257729	0.754053636691203	29442	-16.8745305280692	-2.5651846340104
ZXS_4_2-6	Heart	Left Ventricle	Smooth muscle	SM-NOTCH3	0.327287688103111	149625	0.9398	23544	0.00708875771542546	0.814984709480122	13568	-25.3608848047726	32.9348496158529
ZXS_4_2-7	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.342016851671317	126191	0.907	22142	0.0274882710412796	0.785746545027549	12233	-23.8584734883572	34.4404335170102
ZXS_4_2-8	Heart	Left Ventricle	Glial	Glial	0.515797247482896	323002	0.9556	44659	0.0163922535722057	0.543921717906805	16634	-18.8667371099493	-11.1894571569409
ZXS_4_3-2	Heart	Left Ventricle	Endothelium	Endo	0.826432089179799	300840	0.9701	37390	0.0230630897866108	0.761273067665151	17106	-23.7960986851877	33.9238839926955
ZXS_4_3-3	Heart	Left Ventricle	Endothelium	Endo	0.290028602340065	191144	0.9509	22051	0.0101805348174291	0.737018729309328	11036	-25.650257969688	33.6524510332219
ZXS_4_3-4	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.452088586485633	221847	0.9657	31658	0.0137592982757879	0.762619243161286	16243	-23.5155976804939	33.8540462166496
ZXS_4_3-5	Heart	Left Ventricle	Glial	Glial	0.482448589361735	361050	0.9673	60314	0.0119899482764449	0.722054581025964	24598	-24.1887809405961	32.4731704015929
ZXS_4_3-6	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.501104943636571	333006	0.9619	41716	0.0268392841151863	0.642846869306741	17466	-17.4326856248166	4.73407596164742
ZXS_4_3-7	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.384548010468078	184744	0.9537	39544	0.0147580170213749	0.772708881246207	19495	-18.6474463259016	-11.1683205761882
ZXS_4_3-8	Heart	Left Ventricle	Glial	Glial	0.582202325178601	1568040	0.9786	100349	0.00747365841705464	0.151282025730202	11242	-21.2185955015973	-12.3698173864705
ZXS_4_4-1	Heart	Left Ventricle	Endothelium	Endo	0.695858982166378	292800	0.9555	33721	0.0152965558077568	0.813261765665312	16753	-24.3388168834926	32.9578953290228
ZXS_4_4-2	Heart	Left Ventricle	Endothelium	Endo	0.543884698079401	240885	0.9627	28656	0.0138888888888889	0.788176996091569	13505	-24.8188436470367	33.983507791697
ZXS_4_4-3	Heart	Left Ventricle	Endothelium	Endo	0.293997518976725	329284	0.9597	43533	0.0106251191156852	0.64066340477339	18250	-24.3590026433099	34.7257259111399
ZXS_4_4-4	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.526654639061585	447126	0.9682	46000	0.0113298425498531	0.797717391304348	20962	-18.9496337854134	6.06287062412921
ZXS_4_4-6	Heart	Left Ventricle	Endothelium	Endo	0.951157900942098	369153	0.9511	41421	0.0119680146864133	0.802829482629584	19010	-27.3473985612483	32.8354749354107
ZXS_4_4-7	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.378293944047584	115202	0.9287	19651	0.0395886030640004	0.674265940664597	10552	-18.7086797640603	-11.6800207014998
ZXS_4_4-8	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.842429074535343	272938	0.9461	44635	0.0111137751576097	0.760322616780553	21524	-17.0020660974511	4.59986778729909
ZXS_4_5-2	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.374196784275805	225995	0.9526	39997	0.0115467736955851	0.818061354601595	20630	-17.0312645640009	4.55824779566415
ZXS_4_5-5	Heart	Left Ventricle	Glial	Glial	0.509961342990332	221566	0.9573	46565	0.0229797559293004	0.609234403521959	17904	-16.4071986177388	-1.33566164699291
ZXS_4_5-7	Heart	Left Ventricle	Glial	Glial	0.31880316743233	136428	0.9554	21479	0.0382545174932718	0.554727873737139	9133	-18.7327282399948	-11.830402689254
ZXS_4_5-8	Heart	Left Ventricle	Glial	Glial	0.256248755294448	648570	0.9495	55451	0.0959077919151913	0.554164938414095	18437	-16.3436467122467	-1.36392920050189
ZXS_4_6-1	Heart	Left Ventricle	Endothelium	Endo	0.423451819485774	247132	0.9674	33333	0.00557396550259155	0.739687396873969	15018	-18.2903075185096	-1.38818338812685
ZXS_4_6-2	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.71926998112375	619960	0.9786	59935	0.0471625563511005	0.676716442813047	23132	-10.8557192468845	9.39031346294715
ZXS_4_6-5	Heart	Left Ventricle	Smooth muscle	SM-NOTCH3	0.599812093869094	426660	0.9709	67326	0.0204631843687184	0.679856221964768	25894	-16.8674151688723	-2.59417563573413
ZXS_4_6-6	Heart	Left Ventricle	Endothelium	Endo	0.54389230448784	270037	0.9575	31491	0.0078030303030303	0.751960877711092	14631	-24.7033956283583	33.697989608818
ZXS_4_6-7	Heart	Left Ventricle	Fibroblast	Fibro-ITM2A	0.578767733666378	588837	0.9778	58445	0.0141085549964055	0.738608948584139	24402	-18.5237469960636	7.72518944140403
ZXS_4_6-8	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.180157031904488	141914	0.9332	23233	0.0258979244780462	0.772134463909095	13201	-22.7307046888959	33.5315241643452
ZXS_4_7-3	Heart	Left Ventricle	Glial	Glial	0.580356335297121	446038	0.9648	40300	0.025827542161893	0.495086848635236	12700	-19.2350485114839	-11.4225442421235
ZXS_4_7-4	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.25389792696274	163913	0.9669	19245	0.0114452341899034	0.844219277734476	10588	-17.783245820026	20.8460007297127
ZXS_4_7-5	Heart	Left Ventricle	Endothelium	Endo	0.218646385775055	139373	0.9577	24367	0.0145627479486484	0.750112857553248	12423	-24.0986674642508	34.8021681276929
ZXS_4_7-6	Heart	Left Ventricle	DC/Macrophage	DC/Macro	0.350412188028075	119912	0.9449	17655	0.0138172179454643	0.632172189181535	8618	-18.6690624784935	-11.8695286565063
ZXS_4_7-7	Heart	Left Ventricle	Endothelium	Endo	0.555053867885583	248456	0.9713	27748	0.0202054697060246	0.851737062130604	14081	-25.8671398296917	33.5451934522781
ZXS_4_7-8	Heart	Left Ventricle	Smooth muscle	SM-NOTCH3	0.59291200141964	223796	0.9675	26022	0.0203220180471653	0.732726154792099	12323	-17.1404582638933	-1.12553428639823
ZXS_4_8-1	Heart	Left Ventricle	Fibroblast	Fibro-ITM2A	0.283881219695881	118277	0.9137	18963	0.0341083683294069	0.647471391657438	9952	-18.6995259171996	-11.6984393245809
ZXS_4_8-2	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.244330979339003	292771	0.9539	31578	0.0677515507935229	0.424472734182025	10307	-18.8695968323933	-11.7994380922336
ZXS_4_8-3	Heart	Left Ventricle	Endothelium	Endo	0.471047223605229	143169	0.9428	22645	0.0194964731989538	0.716802826230956	11445	-24.1960652480201	34.1843183066098
ZXS_4_8-6	Heart	Left Ventricle	DC/Macrophage	DC/Macro	0.506454454866462	170471	0.9118	31308	0.0239553120635944	0.757825475916699	15935	-22.8120850501133	33.6012963240078
ZXS_4_8-7	Heart	Left Ventricle	Endothelium	Endo	0.312454402688498	197063	0.9505	27807	0.0236276743043459	0.797353184449959	15071	-24.3861083342739	33.6107809603327
ZXS_4_8-8	Heart	Left Ventricle	Glial	Glial	0.527422701775421	287481	0.9468	40263	0.0334851447105224	0.646871817797978	17168	-18.7441056547636	-11.2119566094089
ZXS_4_9-5	Heart	Left Ventricle	Fibroblast	Fibro-ADAMTS19	0.266555723966175	161213	0.9561	45609	0.00636272422484889	0.546098357780263	18006	-22.7664571253433	33.4627751780507
