cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MD59	hsa04360	Axon guidance	7/44	183/7846	6.18345859563026e-05	0.00201992980790589	0.00175740402191597	BMP7/BOC/WNT5A/PLXNA4/NTNG1/NRP1/NEO1	7
MD59	hsa04512	ECM-receptor interaction	5/44	88/7846	0.00012181731456057	0.00298452420673395	0.00259663223142267	DAG1/THBS3/COL1A2/COL1A1/THBS2	5
MD59	hsa04510	Focal adhesion	6/44	201/7846	0.000822173793823688	0.0152686448594061	0.0132842130355735	FLNC/THBS3/FLNB/COL1A2/COL1A1/THBS2	6
MD59	hsa05205	Proteoglycans in cancer	6/44	206/7846	0.00093481499139221	0.0152686448594061	0.0132842130355735	FLNC/WNT5A/FLNB/COL1A2/COL1A1/GPC3	6
MD59	hsa04933	AGE-RAGE signaling pathway in diabetic complications	4/44	102/7846	0.00245254568532737	0.0343356395945831	0.0298731128588747	F3/COL3A1/COL1A2/COL1A1	4
MD60	hsa04014	Ras signaling pathway	4/10	234/7846	0.000140573180041118	0.00493428931029865	0.00334723719295113	FGFR1/NGFR/NTRK2/PDGFRA	4
MD60	hsa05215	Prostate cancer	3/10	99/7846	0.000219301747124384	0.00493428931029865	0.00334723719295113	FGFR1/PLAT/PDGFRA	3
MD60	hsa04010	MAPK signaling pathway	4/10	295/7846	0.000343626340354778	0.00515439510532166	0.00349654872641703	FGFR1/NGFR/NTRK2/PDGFRA	4
MD60	hsa04151	PI3K-Akt signaling pathway	4/10	355/7846	0.000696375680373661	0.00783422640420369	0.00531444598179899	FGFR1/NGFR/NTRK2/PDGFRA	4
MD60	hsa04015	Rap1 signaling pathway	3/10	212/7846	0.00202815979374836	0.0182534381437353	0.0123824492670953	FGFR1/NGFR/PDGFRA	3
MD62	hsa00100	Steroid biosynthesis	5/18	20/7846	5.25781692172834e-10	1.647585898059e-08	1.078078966013e-08	NSDHL/FDFT1/MSMO1/SQLE/DHCR24	5
MD62	hsa00900	Terpenoid backbone biosynthesis	5/18	22/7846	8.90586971923784e-10	1.647585898059e-08	1.078078966013e-08	FDPS/ACAT2/HMGCS1/IDI1/HMGCR	5
MD62	hsa01100	Metabolic pathways	13/18	1488/7846	1.29225168670856e-06	1.59377708027389e-05	1.04286978225603e-05	NSDHL/FADS1/FDPS/ACSL3/ACAT2/HMGCS1/IDI1/HMGCR/FDFT1/MSMO1/SQLE/DHCR24/SCD	13
MD62	hsa01212	Fatty acid metabolism	4/18	56/7846	6.61250452622056e-06	6.11656668675402e-05	4.0023053711335e-05	FADS1/ACSL3/ACAT2/SCD	4
MD62	hsa03320	PPAR signaling pathway	3/18	76/7846	0.000641950964412337	0.00395869761387608	0.00259032845289189	ACSL3/HMGCS1/SCD	3
MD65	hsa04141	Protein processing in endoplasmic reticulum	5/16	166/7846	1.44360010373369e-05	0.000765108054978856	0.000638223203755948	DDIT3/DNAJB11/XBP1/HSPA5/HSP90B1	5
MD66	hsa04141	Protein processing in endoplasmic reticulum	13/83	166/7846	1.55780291007275e-08	2.66384297622441e-06	1.91855726819487e-06	ERO1B/SKP1/HERPUD1/ATF4/PPP1R15A/HSP90AB1/HSPA1A/HSPA1B/HSPA8/DNAJB1/HSPH1/HSP90AA1/DNAJA1	13
MD66	hsa04210	Apoptosis	9/83	138/7846	1.3530838841779e-05	0.000817626880592197	0.000588872545578868	TUBA1B/TUBA1A/TUBA1C/NFKBIA/GADD45B/ATF4/JUN/FOS/MCL1	9
MD66	hsa04915	Estrogen signaling pathway	9/83	139/7846	1.43443312384596e-05	0.000817626880592197	0.000588872545578868	CALM1/ATF4/HSP90AB1/HSPA1A/HSPA1B/HSPA8/HSP90AA1/JUN/FOS	9
MD66	hsa05161	Hepatitis B	9/83	164/7846	5.34634603927265e-05	0.0019141663832824	0.00137862398795962	NFKBIA/EGR2/DDX3X/MYC/CDKN1A/EGR3/ATF4/JUN/FOS	9
MD66	hsa04657	IL-17 signaling pathway	7/83	94/7846	5.59697772889591e-05	0.0019141663832824	0.00137862398795962	NFKBIA/JUND/HSP90AB1/HSP90AA1/JUN/FOS/FOSB	7
MD66	hsa05031	Amphetamine addiction	6/83	69/7846	8.22405245631428e-05	0.00203237875386867	0.00146376309142896	SIRT1/CALM1/ATF4/JUN/FOS/FOSB	6
MD66	hsa03040	Spliceosome	8/83	135/7846	8.31967910940393e-05	0.00203237875386867	0.00146376309142896	TRA2B/SRSF7/SRSF3/SRSF5/DDX5/HSPA1A/HSPA1B/HSPA8	8
MD66	hsa05202	Transcriptional misregulation in cancer	9/83	184/7846	0.00013007846899805	0.00278042727483333	0.00200252379904893	FUS/MLF1/ID2/MYC/CDKN1A/GADD45B/H3F3B/DDX5/NFKBIZ	9
MD66	hsa04668	TNF signaling pathway	7/83	114/7846	0.000189855507031867	0.00360725463360548	0.0025980227278045	NFKBIA/ATF4/IRF1/JUNB/SOCS3/JUN/FOS	7
MD66	hsa04010	MAPK signaling pathway	11/83	295/7846	0.000254217724734968	0.00434712309296796	0.00313089197831487	MYC/JUND/GADD45B/ATF4/DUSP5/DUSP1/HSPA1A/HSPA1B/HSPA8/JUN/FOS	11
MD66	hsa05134	Legionellosis	5/83	57/7846	0.000319150799670573	0.00496134424942436	0.00357326732645522	NFKBIA/HSPD1/HSPA1A/HSPA1B/HSPA8	5
MD66	hsa04380	Osteoclast differentiation	7/83	127/7846	0.000369250773860938	0.00526182352751836	0.00378967899488857	NFKBIA/JUND/JUNB/SOCS3/JUN/FOS/FOSB	7
MD66	hsa05166	Human T-cell leukemia virus 1 infection	9/83	218/7846	0.000461567421611196	0.00607138685350111	0.00437274399421133	NFKBIA/EGR2/MYC/CDKN1A/ATF4/ZFP36/JUN/EGR1/FOS	9
MD66	hsa05418	Fluid shear stress and atherosclerosis	7/83	140/7846	0.000664707061336298	0.00811892196346478	0.00584742302077796	KLF2/CALM1/HSP90AB1/DUSP1/HSP90AA1/JUN/FOS	7
MD66	hsa04612	Antigen processing and presentation	5/83	68/7846	0.00072557717485877	0.00814842720363388	0.00586867333225709	HSP90AB1/HSPA1A/HSPA1B/HSPA8/HSP90AA1	5
MD66	hsa05167	Kaposi sarcoma-associated herpesvirus infection	8/83	188/7846	0.000795386163500271	0.00814842720363388	0.00586867333225709	NFKBIA/UBB/MYC/CDKN1A/CALM1/ZFP36/JUN/FOS	8
MD66	hsa04625	C-type lectin receptor signaling pathway	6/83	106/7846	0.000857729179329882	0.00814842720363388	0.00586867333225709	NFKBIA/EGR2/CALM1/EGR3/IRF1/JUN	6
MD66	hsa04928	Parathyroid hormone synthesis, secretion and action	6/83	106/7846	0.000857729179329882	0.00814842720363388	0.00586867333225709	MAFB/CDKN1A/JUND/ATF4/EGR1/FOS	6
MD66	hsa05130	Pathogenic Escherichia coli infection	8/83	200/7846	0.00118884536088577	0.0106996082479719	0.00770608904286066	TUBB2A/TUBA1B/TUBA1A/TUBA1C/NFKBIA/TUBB4B/JUN/FOS	8
MD66	hsa05203	Viral carcinogenesis	8/83	202/7846	0.00126739888279502	0.0108362604478974	0.00780450890984302	NFKBIA/EGR2/DDX3X/GTF2B/CDKN1A/EGR3/ATF4/JUN	8
MD66	hsa04540	Gap junction	5/83	88/7846	0.00231281767989274	0.0179769010573482	0.012947352562079	TUBB2A/TUBA1B/TUBA1A/TUBA1C/TUBB4B	5
MD66	hsa05210	Colorectal cancer	5/83	88/7846	0.00231281767989274	0.0179769010573482	0.012947352562079	MYC/CDKN1A/GADD45B/JUN/FOS	5
MD66	hsa05222	Small cell lung cancer	5/83	94/7846	0.00308473736466098	0.0229343517111751	0.0165178156368574	CKS2/NFKBIA/MYC/CDKN1A/GADD45B	5
MD66	hsa05162	Measles	6/83	140/7846	0.00354921255649705	0.0252881394650415	0.0182130644346559	NFKBIA/HSPA1A/HSPA1B/HSPA8/JUN/FOS	6
MD66	hsa05215	Prostate cancer	5/83	99/7846	0.0038578206588178	0.0263874933063137	0.0190048428244919	NFKBIA/CDKN1A/ATF4/HSP90AB1/HSP90AA1	5
MD66	hsa04213	Longevity regulating pathway - multiple species	4/83	64/7846	0.00457011631933424	0.029522282974288	0.0212625860756645	SIRT1/HSPA1A/HSPA1B/HSPA8	4
MD66	hsa04145	Phagosome	6/83	148/7846	0.00466141310120337	0.029522282974288	0.0212625860756645	TUBB2A/TUBA1B/TUBA1A/TUBA1C/TFRC/TUBB4B	6
MD66	hsa04659	Th17 cell differentiation	5/83	105/7846	0.00495828662040231	0.0302809647174569	0.0218090050596643	NFKBIA/HSP90AB1/HSP90AA1/JUN/FOS	5
MD66	hsa05216	Thyroid cancer	3/83	37/7846	0.00684572691187492	0.0403661828251935	0.0290725970486158	MYC/CDKN1A/GADD45B	3
MD66	hsa05133	Pertussis	4/83	76/7846	0.00838799485797643	0.0478115706904657	0.0344349262590611	CALM1/IRF1/JUN/FOS	4
MD66	hsa05220	Chronic myeloid leukemia	4/83	78/7846	0.00917896288545366	0.0497044763417001	0.0357982378084266	NFKBIA/MYC/CDKN1A/GADD45B	4
MD66	hsa05200	Pathways in cancer	12/83	531/7846	0.00955745261335719	0.0497044763417001	0.0357982378084266	SKP1/EGLN3/CKS2/NFKBIA/MYC/CDKN1A/CALM1/GADD45B/HSP90AB1/HSP90AA1/JUN/FOS	12
MD66	hsa03018	RNA degradation	4/83	79/7846	0.00959209192559124	0.0497044763417001	0.0357982378084266	TOB1/BTG1/HSPD1/BTG2	4
MD67	hsa04714	Thermogenesis	3/7	230/7846	0.000797522019078729	0.0127603523052597	0.00839496862188135	COA3/COX4I1/NDUFB1	3
MD68	hsa04260	Cardiac muscle contraction	3/12	85/7846	0.000251595564057427	0.0145925427153308	0.0119176846132466	TPM3/COX6C/COX7A2	3
MD68	hsa05012	Parkinson disease	3/12	141/7846	0.00110981006338083	0.0296798164736841	0.0242394145429362	PARK7/COX6C/COX7A2	3
MD68	hsa05010	Alzheimer disease	3/12	170/7846	0.00190377905226389	0.0296798164736841	0.0242394145429362	COX6C/CALM2/COX7A2	3
MD69	hsa03010	Ribosome	5/9	150/7846	2.83091491039602e-07	4.24637236559403e-06	3.87388356159456e-06	RPS9/RPS29/RPS19/RPL23A/RPS2	5
MD70	hsa03010	Ribosome	5/17	150/7846	1.22825543357653e-05	0.00111771244455464	0.000853314301221588	RPS21/RPS28/RPL10/RPL29/RPS10	5
MD70	hsa05110	Vibrio cholerae infection	3/17	50/7846	0.000155519485941719	0.0070761366103482	0.00540225582744917	GNAS/ACTB/ACTG1	3
MD70	hsa05414	Dilated cardiomyopathy (DCM)	3/17	95/7846	0.00103397702358392	0.0288302566712038	0.0220103752492707	GNAS/ACTB/ACTG1	3
MD70	hsa04714	Thermogenesis	4/17	230/7846	0.00126726402950346	0.0288302566712038	0.0220103752492707	GNAS/ACTB/ACTG1/UQCRB	4
MD70	hsa04611	Platelet activation	3/17	125/7846	0.00228003044301039	0.0414965540627891	0.031680422997618	GNAS/ACTB/ACTG1	3
MD70	hsa05418	Fluid shear stress and atherosclerosis	3/17	140/7846	0.00314766254154045	0.0477395485466968	0.0364466189020473	ACTB/ACTG1/SUMO2	3
MD71	hsa03010	Ribosome	53/58	150/7846	1.17005259235516e-89	2.10609466623929e-88	2.09377832316187e-88	RPL35/RPL39/RPL37/RPL36/FAU/RPS7/RPS5/RPL7A/RPL35A/RPL7/RPL26/RPL19/RPS15A/RPL24/RPL14/RPL30/RPL15/RPS25/RPLP1/RPL27/RPL38/RPL32/RPL13/RPS18/RPLP2/RPL8/RPS11/RPL10A/RPL13A/RPS16/RPS27A/RPL22/RPL3/RPL6/RPS24/RPS4X/RPL4/RPLP0/RPL31/RPL11/RPS20/RPS3/RPS17/RPS12/RPL5/RPL9/RPS6/RPL37A/RPS3A/RPL27A/RPS23/RPL34/RPL23	53
MD72	hsa00190	Oxidative phosphorylation	11/17	132/7846	2.27876728079631e-16	9.5708225793445e-15	7.43597744259848e-15	MT-ATP8/MT-ND3/MT-ND1/MT-CO2/MT-CO1/MT-CO3/MT-ND5/MT-ND2/MT-CYB/MT-ATP6/MT-ND4	11
MD72	hsa05012	Parkinson disease	11/17	141/7846	4.81052779592626e-16	1.01021083714451e-14	7.84875587756389e-15	MT-ATP8/MT-ND3/MT-ND1/MT-CO2/MT-CO1/MT-CO3/MT-ND5/MT-ND2/MT-CYB/MT-ATP6/MT-ND4	11
MD72	hsa04714	Thermogenesis	11/17	230/7846	1.14922821031711e-13	1.60891949444396e-12	1.25003770245019e-12	MT-ATP8/MT-ND3/MT-ND1/MT-CO2/MT-CO1/MT-CO3/MT-ND5/MT-ND2/MT-CYB/MT-ATP6/MT-ND4	11
MD72	hsa05010	Alzheimer disease	7/17	170/7846	3.21084233506296e-08	3.37138445181611e-07	2.61937137860399e-07	TNFRSF1A/MT-ATP8/MT-CO2/MT-CO1/MT-CO3/MT-CYB/MT-ATP6	7
MD72	hsa05016	Huntington disease	6/17	192/7846	1.96374310562544e-06	1.64954420872537e-05	1.28160076367134e-05	MT-ATP8/MT-CO2/MT-CO1/MT-CO3/MT-CYB/MT-ATP6	6
MD72	hsa04723	Retrograde endocannabinoid signaling	5/17	147/7846	1.11300184701229e-05	7.36953260145917e-05	5.72570202118382e-05	MT-ND3/MT-ND1/MT-ND5/MT-ND2/MT-ND4	5
MD72	hsa04932	Non-alcoholic fatty liver disease (NAFLD)	5/17	150/7846	1.22825543357653e-05	7.36953260145917e-05	5.72570202118382e-05	TNFRSF1A/MT-CO2/MT-CO1/MT-CO3/MT-CYB	5
MD72	hsa04260	Cardiac muscle contraction	4/17	85/7846	2.74238556683903e-05	0.000143975242259049	0.000111860463910539	MT-CO2/MT-CO1/MT-CO3/MT-CYB	4
MD72	hsa01100	Metabolic pathways	11/17	1488/7846	4.41155586627925e-05	0.000205872607093032	0.00015995114836802	MT-ATP8/MT-ND3/MT-ND1/MT-CO2/MT-CO1/MT-CO3/MT-ND5/MT-ND2/MT-CYB/MT-ATP6/MT-ND4	11
MD73	hsa04512	ECM-receptor interaction	5/15	88/7846	4.35122748320688e-07	2.13210146677137e-05	1.3282694422421e-05	ITGB5/COL4A2/COL6A3/COL4A1/ITGA1	5
MD73	hsa04510	Focal adhesion	6/15	201/7846	1.08317628239352e-06	2.65378189186412e-05	1.65326906260064e-05	ITGB5/PDGFRB/COL4A2/COL6A3/COL4A1/ITGA1	6
MD73	hsa05165	Human papillomavirus infection	6/15	332/7846	1.98599332501535e-05	0.000324378909752506	0.000202083531317351	ITGB5/PDGFRB/COL4A2/COL6A3/COL4A1/ITGA1	6
MD73	hsa04151	PI3K-Akt signaling pathway	6/15	355/7846	2.90846616705722e-05	0.000356287105464509	0.000221961891696472	ITGB5/PDGFRB/COL4A2/COL6A3/COL4A1/ITGA1	6
MD73	hsa04974	Protein digestion and absorption	3/15	95/7846	0.000704110316603428	0.00690028110271359	0.00429877877505251	COL4A2/COL6A3/COL4A1	3
MD73	hsa04022	cGMP-PKG signaling pathway	3/15	166/7846	0.00350941813435597	0.0286602480972405	0.017854934367776	EDNRA/TRPC6/GUCY1B3	3
MD73	hsa04810	Regulation of actin cytoskeleton	3/15	215/7846	0.00723598890868661	0.0443204320657055	0.0276110103094621	ITGB5/PDGFRB/ITGA1	3
MD73	hsa05200	Pathways in cancer	4/15	531/7846	0.0155427431982995	0.0481994691163271	0.0300275962271426	EDNRA/PDGFRB/COL4A2/COL4A1	4
MD74	hsa05012	Parkinson disease	14/19	141/7846	2.04988241555373e-21	4.09976483110746e-20	2.15777096374077e-20	PARK7/UQCRB/MT-ATP8/MT-ND6/MT-ND3/MT-ND1/MT-CO3/MT-CO2/MT-ND2/MT-ND5/MT-CO1/MT-CYB/MT-ATP6/MT-ND4	14
MD74	hsa00190	Oxidative phosphorylation	13/19	132/7846	1.18215363647772e-19	1.18215363647772e-18	6.2218612446196e-19	UQCRB/MT-ATP8/MT-ND6/MT-ND3/MT-ND1/MT-CO3/MT-CO2/MT-ND2/MT-ND5/MT-CO1/MT-CYB/MT-ATP6/MT-ND4	13
MD74	hsa04714	Thermogenesis	13/19	230/7846	1.95841023698316e-16	1.30560682465544e-15	6.87161486660758e-16	UQCRB/MT-ATP8/MT-ND6/MT-ND3/MT-ND1/MT-CO3/MT-CO2/MT-ND2/MT-ND5/MT-CO1/MT-CYB/MT-ATP6/MT-ND4	13
MD74	hsa05010	Alzheimer disease	7/19	170/7846	8.0196192473412e-08	4.0098096236706e-07	2.11042611772137e-07	UQCRB/MT-ATP8/MT-CO3/MT-CO2/MT-CO1/MT-CYB/MT-ATP6	7
MD74	hsa05016	Huntington disease	7/19	192/7846	1.8509992715217e-07	7.40399708608679e-07	3.89684057162462e-07	UQCRB/MT-ATP8/MT-CO3/MT-CO2/MT-CO1/MT-CYB/MT-ATP6	7
MD74	hsa04723	Retrograde endocannabinoid signaling	6/19	147/7846	8.66668217832404e-07	2.88889405944135e-06	1.52047055760071e-06	MT-ND6/MT-ND3/MT-ND1/MT-ND2/MT-ND5/MT-ND4	6
MD74	hsa04260	Cardiac muscle contraction	5/19	85/7846	1.36780105972422e-06	3.90800302778348e-06	2.05684369883341e-06	UQCRB/MT-CO3/MT-CO2/MT-CO1/MT-CYB	5
MD74	hsa01100	Metabolic pathways	13/19	1488/7846	3.3802655790582e-06	8.4506639476455e-06	4.44771786718184e-06	UQCRB/MT-ATP8/MT-ND6/MT-ND3/MT-ND1/MT-CO3/MT-CO2/MT-ND2/MT-ND5/MT-CO1/MT-CYB/MT-ATP6/MT-ND4	13
MD74	hsa04932	Non-alcoholic fatty liver disease (NAFLD)	5/19	150/7846	2.23775707658646e-05	4.97279350352548e-05	2.61725973869762e-05	UQCRB/MT-CO3/MT-CO2/MT-CO1/MT-CYB	5
MD75	hsa03010	Ribosome	33/48	150/7846	4.04810147968252e-47	1.65972160666983e-45	1.65972160666983e-45	RPS15A/RPL21/RPSA/RPL10/RPL23A/RPL7A/RPL13/RPL12/RPLP0/RPL35A/RPL30/RPL39/RPL14/RPL32/RPS29/RPL7/RPS10/RPS25/RPS3A/RPL15/RPS27A/RPS21/RPL22/RPS5/RPL6/RPL3/RPL27/RPS16/RPS11/RPS4X/RPL38/RPL10A/RPL19	33
MD76	hsa03010	Ribosome	23/23	150/7846	5.18859590204993e-41	5.18859590204993e-40	4.9155119072052e-40	RPL8/RPL36/RPS23/RPL26/RPL4/RPLP2/RPLP1/RPL13A/RPS24/RPL11/RPL5/RPS3/RPL31/RPS17/RPL37A/RPS20/RPS12/RPL34/RPL23/RPL27A/RPS18/RPS6/RPL9	23
MD79	hsa04540	Gap junction	3/9	88/7846	0.000109083164817932	0.00556324140571452	0.00424850220869839	PDGFRA/GUCY1A3/GUCY1B3	3
MD80	hsa04514	Cell adhesion molecules (CAMs)	4/20	144/7846	0.000419435143079194	0.0264244140139892	0.0238415765539752	ITGA8/VCAN/NTNG1/VCAM1	4
MD80	hsa04360	Axon guidance	4/20	183/7846	0.00103540442240733	0.0326152393058309	0.0294272835842083	CXCL12/NTNG1/SEMA5A/EPHA7	4
MD82	hsa04510	Focal adhesion	4/18	201/7846	0.000964692710367691	0.0108234091954555	0.00699119732720807	LAMA4/COL4A1/FN1/MYLK	4
MD82	hsa04512	ECM-receptor interaction	3/18	88/7846	0.000984946326491571	0.0108234091954555	0.00699119732720807	LAMA4/COL4A1/FN1	3
MD82	hsa05205	Proteoglycans in cancer	4/18	206/7846	0.00105745385240342	0.0108234091954555	0.00699119732720807	SDC2/GPC3/FN1/TIMP3	4
MD82	hsa05222	Small cell lung cancer	3/18	94/7846	0.00119280438826048	0.0108234091954555	0.00699119732720807	LAMA4/COL4A1/FN1	3
MD82	hsa04974	Protein digestion and absorption	3/18	95/7846	0.00122993286311994	0.0108234091954555	0.00699119732720807	COL4A1/COL12A1/COL21A1	3
MD82	hsa05146	Amoebiasis	3/18	102/7846	0.00151043948504933	0.0110765562236951	0.00715471335023368	LAMA4/COL4A1/FN1	3
MD82	hsa04270	Vascular smooth muscle contraction	3/18	132/7846	0.00315691114103931	0.0198434414579614	0.0128175339560995	CALD1/ACTA2/MYLK	3
MD82	hsa05200	Pathways in cancer	5/18	531/7846	0.00570178651721086	0.0313598258446597	0.0202563468374596	LAMA4/COL4A1/FN1/PTGER3/F2R	5
MD82	hsa04151	PI3K-Akt signaling pathway	4/18	355/7846	0.00761196817889953	0.0372140666523977	0.0240377942491564	LAMA4/COL4A1/FN1/F2R	4
MD82	hsa04020	Calcium signaling pathway	3/18	191/7846	0.00884980523434499	0.038939143031118	0.0251520780344542	PTGER3/MYLK/F2R	3
MD82	hsa04810	Regulation of actin cytoskeleton	3/18	215/7846	0.0122167222004518	0.048866888801807	0.0315647367858562	FN1/MYLK/F2R	3
MD84	hsa04141	Protein processing in endoplasmic reticulum	16/81	166/7846	7.97166882906961e-12	1.46678706454881e-09	1.11603363606975e-09	HSPA2/SKP1/DDIT3/ATF4/HSPA1A/HSPA1B/HSP90AB1/HSPA8/DNAJB1/HSPH1/HSP90AA1/PPP1R15A/DNAJA1/HERPUD1/HSPA5/HSP90B1	16
MD84	hsa03040	Spliceosome	12/81	135/7846	1.0591350142597e-08	9.74404213118923e-07	7.41394509981789e-07	HSPA2/SRSF2/SRSF6/SRSF3/SRSF7/HNRNPU/TRA2B/DDX5/HSPA1A/HSPA1B/HSPA8/EIF4A3	12
MD84	hsa04915	Estrogen signaling pathway	11/81	139/7846	1.52614083373717e-07	9.36033044692131e-06	7.12199055744013e-06	HSPA2/CALM1/ATF4/HSPA1A/HSPA1B/HSP90AB1/HSPA8/HSP90AA1/FOS/JUN/HSP90B1	11
MD84	hsa04612	Antigen processing and presentation	8/81	68/7846	4.06774425527514e-07	1.87116235742656e-05	1.4237104893463e-05	HSPA2/HLA-E/HSPA1A/HSPA1B/HSP90AB1/HSPA8/HSP90AA1/HSPA5	8
MD84	hsa05134	Legionellosis	7/81	57/7846	1.67694405771376e-06	6.17115413238665e-05	4.69544336159854e-05	HSPA2/CLK1/NFKBIA/HSPD1/HSPA1A/HSPA1B/HSPA8	7
MD84	hsa04657	IL-17 signaling pathway	8/81	94/7846	4.93458320597573e-06	0.000151327218316589	0.0001151402748061	NFKBIA/JUND/HSP90AB1/HSP90AA1/FOSB/FOS/JUN/HSP90B1	8
MD84	hsa04010	MAPK signaling pathway	13/81	295/7846	8.67149172409177e-06	0.000227936353890412	0.000173429834481835	HSPA2/DUSP5/DDIT3/GADD45B/ATF4/NR4A1/JUND/HSPA1A/HSPA1B/HSPA8/FOS/JUN/DUSP1	13
MD84	hsa04210	Apoptosis	9/81	138/7846	1.10637435522671e-05	0.000254466101702144	0.000193615512164675	DDIT3/GADD45B/TUBA1A/ATF4/LMNA/NFKBIA/MCL1/FOS/JUN	9
MD84	hsa05031	Amphetamine addiction	6/81	69/7846	7.16938970449525e-05	0.00146574189514125	0.00111523839847704	SIRT1/CALM1/ATF4/FOSB/FOS/JUN	6
MD84	hsa05418	Fluid shear stress and atherosclerosis	8/81	140/7846	9.02968644723392e-05	0.00166146230629104	0.00126415610261275	CALM1/KLF2/HSP90AB1/HSP90AA1/FOS/JUN/DUSP1/HSP90B1	8
MD84	hsa04668	TNF signaling pathway	7/81	114/7846	0.000162841826207844	0.00272389963838575	0.00207253233355438	ATF4/NFKBIA/IRF1/SOCS3/FOS/JUNB/JUN	7
MD84	hsa04380	Osteoclast differentiation	7/81	127/7846	0.000317618888190131	0.00487015628558201	0.00370555369555153	NFKBIA/JUND/FOSB/SOCS3/FOS/JUNB/JUN	7
MD84	hsa04213	Longevity regulating pathway - multiple species	5/81	64/7846	0.000490129692408598	0.00673907869558336	0.0051275598770743	HSPA2/SIRT1/HSPA1A/HSPA1B/HSPA8	5
MD84	hsa05215	Prostate cancer	6/81	99/7846	0.000524225981126039	0.00673907869558336	0.0051275598770743	ATF4/NFKBIA/HSP90AB1/HSP90AA1/CDKN1A/HSP90B1	6
MD84	hsa05162	Measles	7/81	140/7846	0.000573393929110843	0.00673907869558336	0.0051275598770743	HSPA2/NFKBIA/HSPA1A/HSPA1B/HSPA8/FOS/JUN	7
MD84	hsa05202	Transcriptional misregulation in cancer	8/81	184/7846	0.000586006843094205	0.00673907869558336	0.0051275598770743	DDIT3/ID2/GADD45B/H3F3B/NR4A3/DDX5/CDKN1A/NFKBIZ	8
MD84	hsa04928	Parathyroid hormone synthesis, secretion and action	6/81	106/7846	0.00075371672841628	0.00815787517815267	0.00620707893989877	ATF4/NR4A2/JUND/CDKN1A/EGR1/FOS	6
MD84	hsa05203	Viral carcinogenesis	8/81	202/7846	0.00107976982668805	0.0110376471172556	0.00839820976312927	ATF4/DDX3X/YWHAG/NFKBIA/EGR3/HLA-E/CDKN1A/JUN	8
MD84	hsa05161	Hepatitis B	7/81	164/7846	0.00145649724436123	0.014105025945393	0.0107320849584512	ATF4/DDX3X/NFKBIA/EGR3/CDKN1A/FOS/JUN	7
MD84	hsa05166	Human T-cell leukemia virus 1 infection	8/81	218/7846	0.00175813998632269	0.0161748878741687	0.0123069799042588	ATF4/NFKBIA/HLA-E/CDKN1A/EGR1/FOS/ZFP36/JUN	8
MD84	hsa05167	Kaposi sarcoma-associated herpesvirus infection	7/81	188/7846	0.00316192070094713	0.026589466138457	0.0202311155401303	CALM1/NFKBIA/HLA-E/CDKN1A/FOS/ZFP36/JUN	7
MD84	hsa04925	Aldosterone synthesis and secretion	5/81	97/7846	0.00317917529916333	0.026589466138457	0.0202311155401303	CALM1/ATF4/NR4A1/ATP1B3/NR4A2	5
MD84	hsa04659	Th17 cell differentiation	5/81	105/7846	0.00446829016045683	0.0356667128297883	0.0271377162835346	NFKBIA/HSP90AB1/HSP90AA1/FOS/JUN	5
MD84	hsa04625	C-type lectin receptor signaling pathway	5/81	106/7846	0.00465217993432022	0.0356667128297883	0.0271377162835346	CALM1/NFKBIA/EGR3/IRF1/JUN	5
MD84	hsa05145	Toxoplasmosis	5/81	110/7846	0.00544191869141916	0.0387073366230461	0.0294512343871003	HSPA2/NFKBIA/HSPA1A/HSPA1B/HSPA8	5
MD84	hsa05020	Prion diseases	3/81	35/7846	0.00546951495760434	0.0387073366230461	0.0294512343871003	HSPA1A/EGR1/HSPA5	3
MD84	hsa04218	Cellular senescence	6/81	160/7846	0.00603161030341459	0.0411043072528994	0.0312750163880757	SIRT1/CALM1/GADD45B/ZFP36L1/HLA-E/CDKN1A	6
MD84	hsa04918	Thyroid hormone synthesis	4/81	74/7846	0.00701815304704365	0.0461192914520011	0.0350907652352182	ATF4/ATP1B3/HSPA5/HSP90B1	4
MD84	hsa05133	Pertussis	4/81	76/7846	0.00770509557896844	0.0488875029837997	0.0371970131398476	CALM1/IRF1/FOS/JUN	4
MD85	hsa04512	ECM-receptor interaction	7/51	88/7846	1.36115616324401e-06	0.000164699895752525	0.000156174759782734	THBS2/TNC/COL1A2/COL1A1/FRAS1/COL6A3/COL9A1	7
MD85	hsa04350	TGF-beta signaling pathway	6/51	94/7846	2.93755577058241e-05	0.00125846580970313	0.00119332556118001	BMP4/DCN/FST/GREM1/LTBP1/BMP6	6
MD85	hsa04974	Protein digestion and absorption	6/51	95/7846	3.12016316455323e-05	0.00125846580970313	0.00119332556118001	ELN/COL3A1/COL1A2/COL1A1/COL6A3/COL9A1	6
MD85	hsa00830	Retinol metabolism	5/51	66/7846	6.29332531662127e-05	0.00190373090827793	0.00180519068292557	LRAT/ADH1B/CYP26B1/DHRS3/ALDH1A1	5
MD85	hsa04510	Focal adhesion	6/51	201/7846	0.00180823424788126	0.0354056449469032	0.0335729908587425	THBS2/TNC/COL1A2/COL1A1/COL6A3/COL9A1	6
